,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
52820,Go,Rutland Square,Bakewell,Derbyshire,"""Go"" Take Out Sandwich & Pasty Bar",Takeaway/sandwich shop,7844,5,,719526,5,,53.21351400000000,PI/000019242,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.67545000000000,DE45 1BT,2014-11-19,fhrs_5_en-GB,5,,FHRS,5
52821,Bakewell,Derbyshire,,,1 Anchor Square,Restaurant/Cafe/Canteen,1,10,,258197,10,,53.21351400000000,PI/000008577,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.67545000000000,DE45 1BT,2013-07-09,fhrs_3_en-GB,3,,FHRS,5
52822,Bakewell,Derbyshire,,,12 Matlock Street,Restaurant/Cafe/Canteen,1,5,,258763,5,,53.21212900000000,PI/000013067,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.67499600000000,DE45 1EE,2014-01-23,fhrs_5_en-GB,5,,FHRS,5
52823,Bakewell,Derbyshire,,,18 Matlock Street,Restaurant/Cafe/Canteen,1,5,,258839,5,,53.21212900000000,PI/000006780,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.67499600000000,DE45 1EE,2014-03-04,fhrs_5_en-GB,5,,FHRS,0
52824,Bakewell,Derbyshire,,,32 Matlock Street,Takeaway/sandwich shop,7844,10,,258956,10,,53.21212900000000,PI/000006746,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.67499600000000,DE45 1EE,2014-01-29,fhrs_3_en-GB,3,,FHRS,10
52825,,,,,60 The Knoll,Other catering premises,7841,5,,683538,0,,,PI/000010214,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,,,2014-06-23,fhrs_5_en-GB,5,,FHRS,5
52826,62 North Parade,Matlock Bath,Derbyshire,,800 BC Coffee House & Eatery,Restaurant/Cafe/Canteen,1,5,,258295,5,,53.12181100000000,PI/190002188,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.56090300000000,DE4 3NS,2014-09-15,fhrs_5_en-GB,5,,FHRS,5
52827,Unit A2,Waterside Park,Waterside Road,Ashbourne,99p Stores Ltd,Retailers - other,4613,10,,633170,5,,53.01042800000000,PI/190033341,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.74307300000000,DE6 1DG,2013-12-10,fhrs_2_en-GB,2,,FHRS,15
52828,The Village Stores,Market Place,Hartington,Derbyshire,A J Peach,Retailers - other,4613,5,,258128,5,,53.14058900000000,PI/000004480,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.80942000000000,SK17 0AL,2014-03-04,fhrs_4_en-GB,4,,FHRS,10
52829,School Lane,Sudbury,Derbyshire,,A J Wild Butchers,Retailers - other,4613,5,,258452,5,,52.88462800000000,PI/000008679,070,envhealth@derbyshiredales.gov.uk,Derbyshire Dales,http://www.derbyshiredales.gov.uk/fhrs,-1.76264500000000,DE6 5HZ,2014-03-26,fhrs_5_en-GB,5,,FHRS,0
