,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
46021,,,,,1st Class Catering,Mobile caterer,7846,,,33888,,,,10/00073/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,,,2013-03-06,fhrs_exempt_en-GB,Exempt,,FHRS,
46022,3 Church Street,South Normanton,Alfreton,,A E Bacon And Son,Manufacturers/packers,7839,5,,8580,5,,53.10799500000000,03060/0003/0/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.33906700000000,DE55 2BT,2014-08-20,fhrs_4_en-GB,4,,FHRS,10
46023,,,,,A Piece Of Cake,Other catering premises,7841,0,,340051,0,,,12/00015/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,,,2012-02-14,fhrs_5_en-GB,5,,FHRS,0
46024,4 Station Road,Clowne,Chesterfield,,AC And HC Steel Milk And Dairy Produce,Distributors/Transporters,7,0,,46532,0,,53.27608600000000,11/00071/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.26178100000000,S43 4RW,2013-02-07,fhrs_5_en-GB,5,,FHRS,0
46025,Mansfield Road,Hillstown,Chesterfield,Derbyshire,Ace Of Clubs And Bolsover Grill,Pub/bar/nightclub,7843,0,,18007,0,,53.22200700000000,06/00058/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.28373900000000,S44 6LE,2013-06-26,fhrs_5_en-GB,5,,FHRS,0
46026,,,,,AFamilyAFayre,Other catering premises,7841,0,,544929,0,,,13/00011/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,,,2013-04-15,fhrs_5_en-GB,5,,FHRS,0
46027,Agars Soft Drinks,Woodthorpe Road,Shuttlewood,Chesterfield,Agars Soft Drinks Ltd,Distributors/Transporters,7,,,62269,,,53.25150300000000,13740/0010/2/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.30081300000000,S44 6FG,2009-04-15,fhrs_exempt_en-GB,Exempt,,FHRS,
46028,Mobile AJA Litebites 2C Greenhill L,,,,AJA Litebites,Mobile caterer,7846,5,,732298,5,,,15/00003/MOBILE,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,,,2015-01-27,fhrs_5_en-GB,5,,FHRS,5
46029,Recreation Road,Shirebrook,Mansfield,,Alder House,Other catering premises,7841,0,,44909,0,,53.20919100000000,10890/4002/2/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.22507800000000,NG20 8QB,2009-04-09,fhrs_5_en-GB,5,,FHRS,5
46030,8 Mill Green Way,Clowne,Chesterfield,,Aldi,Retailers - supermarkets/hypermarkets,7840,0,,25432,0,,53.27557000000000,08/00084/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.26406900000000,S43 4LJ,2011-12-14,fhrs_5_en-GB,5,,FHRS,0
46031,Aldi Stores Ltd,Carter Lane,Shirebrook,Mansfield,Aldi,Retailers - supermarkets/hypermarkets,7840,0,,6443,0,,53.20387700000000,02200/2002/2/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.21670000000000,NG20 8PE,2011-12-14,fhrs_5_en-GB,5,,FHRS,0
46032,1 High View Road,South Normanton,Alfreton,,Alliance Healthcare,Restaurant/Cafe/Canteen,1,5,,29264,5,,53.11028300000000,09/00067/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.32389900000000,DE55 2DT,2013-06-20,fhrs_5_en-GB,5,,FHRS,5
46033,Amberleigh Manor,Primrose Hill,Blackwell,Alfreton,Amberleigh Care Home Ltd,Hospitals/Childcare/Caring Premises,5,10,,32581,5,,53.11968500000000,09810/2009/2/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.34972100000000,DE55 5JF,2015-01-14,fhrs_4_en-GB,4,,FHRS,5
46034,41 Market Street,South Normanton,Alfreton,,Anchor Fish And Kebab Shop,Takeaway/sandwich shop,7844,0,,24319,0,,53.10188200000000,07600/0041/0/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.34395500000000,DE55 2AB,2013-06-20,fhrs_5_en-GB,5,,FHRS,0
46035,Market Place,Bolsover,Chesterfield,Derbyshire,Anchor Inn,Pub/bar/nightclub,7843,10,,24280,10,,53.22929300000000,07560/2002/2/000,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.29209600000000,S44 6PN,2011-05-24,fhrs_4_en-GB,4,,FHRS,0
46036,Mill Street,Clowne,Chesterfield,Derbyshire,Anchor Inn,Pub/bar/nightclub,7843,5,,34920,5,,53.27441700000000,10/00169/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.26365400000000,S43 4JN,2012-03-26,fhrs_5_en-GB,5,,FHRS,5
46037,Mansfield Road,Pinxton,Nottingham,,Andrea Mattia Concessions - Hotdog And Doughnuts,Mobile caterer,7846,10,,21300,0,,53.10676900000000,07/00007/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.31000300000000,DE55 2JW,2014-03-24,fhrs_4_en-GB,4,,FHRS,5
46038,Andrea Mattia Concessions Panini An,Mansfield Road,Pinxton,Nottingham,Andrea Mattia Concessions Panini/Baguettes,Mobile caterer,7846,10,,21267,5,,53.10676900000000,07/00004/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.31000300000000,DE55 2JW,2014-03-25,fhrs_3_en-GB,3,,FHRS,10
46039,Mansfield Road,Clowne,Chesterfield,,Angel Inn,Pub/bar/nightclub,7843,5,,34286,0,,53.27256900000000,10/00105/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.26872400000000,S43 4JX,2013-06-20,fhrs_5_en-GB,5,,FHRS,5
46040,,,,,Angelpie Cupcakery,Other catering premises,7841,5,,46091,0,,,11/00046/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,,,2014-05-22,fhrs_5_en-GB,5,,FHRS,0
46041,223 Station Road,Shirebrook,Mansfield,,Angel's Heavenly Celebrations,Other catering premises,7841,5,,21785,5,,53.20404300000000,07/00068/COMM,063,enquiries@bolsover.gov.uk,Bolsover,http://www.bolsover.gov.uk/,-1.21186100000000,NG20 8AF,2009-03-05,fhrs_5_en-GB,5,,FHRS,5
