,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
481325,360 Beach and Watersports Centre,5,5,0,0,2012-12-05,,
481326,3663,5,0,0,0,2012-04-26,51.6202,-3.923925
481327,3M's Canteen,5,5,0,0,2011-05-17,51.668759,-4.020793
481328,A J Meats,5,5,0,5,2013-11-08,51.619122,-3.945129
481329,A Taste Of India,3,10,10,10,2014-02-19,51.71388,-4.039683
481330,Abacus Day Nursery,5,0,0,5,2015-01-05,51.618394,-3.970407
481331,Abbeyfield Society,4,5,0,10,2011-03-18,51.616148,-3.964416
481332,Abertawe Service Station,3,10,10,5,2014-09-09,51.646722,-3.984182
481333,Abrahams And Family,5,5,5,0,2014-12-16,51.619122,-3.945129
481334,Ael Y Bryn Nursing Home,4,10,0,10,2014-10-06,51.67772,-3.926392
481335,Alberts Cafe,4,5,10,5,2013-10-02,51.669025,-4.039706
481336,Aldes Kebab,5,5,5,5,2014-04-09,51.663158,-3.944037
481337,Aldi,5,0,0,5,2014-04-02,51.666167,-4.037553
481338,Aldi,5,0,0,5,2012-03-28,51.635377,-3.965796
481339,Ali Raj,4,5,10,0,2014-08-05,51.625321,-4.034061
481340,All Seasons Round,5,0,0,5,2011-06-15,51.712426,-4.031758
481341,Alliance Healthcare,4,0,10,5,2013-11-12,51.647002,-3.99317
481342,Alma Inn,4,10,0,0,2014-01-07,51.642086,-3.940938
481343,Alpha Tots,5,0,0,5,2012-03-14,51.697401,-3.905059
481344,Anarkali,4,10,5,5,2014-08-12,51.615732,-3.956988
481345,Andrie Swistun,4,5,5,10,2014-01-09,,
481346,Angelas,3,5,10,10,2013-06-07,51.575678,-4.045135
481347,Annies Marina Cafe,4,5,5,10,2014-12-09,51.616256,-3.936239
481348,Anthony Davies,1,10,15,20,2013-07-08,51.619122,-3.945129
481349,April Court Nursing Home,5,5,5,5,2014-07-09,51.617407,-3.955254
481350,Arches Guest House,4,10,0,5,2014-09-15,51.613919,-3.95301
481351,Argyle Fish Bar,5,5,5,5,2014-12-03,51.615698,-3.952537
481352,Arthur Llewellyn Jenkins,5,5,0,5,2011-05-16,51.664767,-4.018649
481353,Asda Customer Restaurant,5,5,0,0,2013-04-29,51.668458,-4.034547
481354,Asda Stores,5,5,0,0,2011-10-14,51.669324,-4.036986
481355,Asda Stores Ltd,5,0,0,0,2014-01-31,51.663738,-3.912553
481356,Ashgrove Care Home,5,0,0,5,2015-01-27,51.641629,-4.027044
481357,Asia Market,3,10,5,10,2014-01-23,51.617301,-3.954022
481358,Ask Restaurant,5,5,0,5,2014-02-10,51.619606,-3.940339
481359,Aspire Day Nursery,5,5,0,5,2014-08-19,51.671825,-4.041076
481360,Aunty Ivys Day Nursery,5,0,0,5,2013-11-06,51.649231,-4.041867
481361,Awa Grill House,3,10,10,5,2015-01-08,51.621452,-3.94283
481362,Awel y Mor Nursing Home,5,0,0,0,2014-11-17,51.673495,-4.054645
481363,Azeem General Store,5,5,0,0,2014-04-04,51.640959,-4.020004
481364,Aztec Cafe,3,10,5,10,2014-06-24,51.642879,-3.985474
481365,Badminton Hotel,5,0,0,5,2011-08-01,51.61475,-3.953854
481366,Bakers Basket,3,10,10,5,2014-06-18,51.615836,-3.969588
481367,Bako Wales,5,0,5,0,2012-01-17,51.668271,-4.027163
481368,Bambu Beach Bar,5,5,0,5,2014-02-19,51.61917,-3.940061
481369,Bank Farm Caravan Park,4,5,10,5,2014-03-13,51.551371,-4.204431
481370,Bar New Lodge Gorseinon Independent Social Club,1,10,5,20,2014-11-07,51.667686,-4.052068
481371,Bar Reef,4,5,5,10,2014-06-24,51.620015,-3.955207
481372,Bar Twenty Two,5,5,0,0,2014-06-25,51.619382,-3.93916
481373,Bargain Booze,5,0,0,5,2013-11-13,51.669025,-4.039706
481374,Baskin Robbins,5,0,0,0,2014-09-17,51.618812,-3.946474
481375,BBQ Jacks,4,10,0,10,2014-02-10,51.619382,-3.93916
481376,Beach Road Cafe Bar,5,5,5,5,2014-09-11,51.621503,-3.940319
481377,Beanos,4,5,5,10,2013-11-06,51.631455,-3.972346
481378,Beaufort Arms,3,10,5,10,2014-07-04,51.587095,-4.052043
481379,Belash Takeaway,2,15,10,10,2014-01-23,51.618843,-3.967234
481380,Belle Vue Bistro,5,5,0,0,2014-02-06,51.622067,-3.944287
481381,Benefit Agency,5,0,0,0,2011-01-04,51.652369,-3.919317
481382,Bengal Spice,4,5,10,5,2014-06-18,51.626869,-3.972349
481383,Best Kebabs,4,5,5,10,2015-01-08,51.625707,-3.941683
481384,Best One,5,5,0,5,2015-01-20,51.622149,-3.942052
481385,Best One,3,10,10,10,2013-12-02,51.657631,-3.9498
481386,Beynons Farm and Coffee Shop,5,0,0,0,2011-07-15,51.576668,-4.139366
481387,BFC,4,5,5,10,2013-08-19,51.62272,-3.931429
481388,Big Shop,5,0,0,0,2014-07-25,51.558324,-4.169147
481389,Billy Bonkers Sweet Shop,5,5,0,5,2011-10-05,51.61865,-3.948114
481390,Billy Suttons Coffee Shop,5,0,0,5,2014-12-16,51.647673,-4.038372
481391,Birchgrove After School Club,5,0,0,0,2014-05-15,51.67046,-3.878301
481392,Birchgrove Comprehensive School,4,10,0,0,2014-07-14,51.671057,-3.871847
481393,Birchgrove Primary School,5,5,0,0,2014-11-04,51.67046,-3.878301
481394,Birchgrove RFC,5,5,0,5,2014-01-28,51.668186,-3.881013
481395,Birchgrove Special Needs Centre,4,10,0,5,2011-06-17,51.668107,-3.87414
481396,Bishop Gore Comprehensive School,5,5,5,5,2014-06-12,51.61525,-3.98837
481397,Bishop Vaughan  Roman Catholic School,4,10,5,0,2013-06-06,51.661227,-3.935698
481398,Bishopston Comprehensive School,5,5,0,0,2013-12-10,51.584728,-4.048024
481399,Bishopston Primary School,5,0,0,0,2013-12-10,51.582178,-4.051893
481400,Bizzie Lizzie,5,5,5,5,2014-08-07,51.618829,-3.958392
481401,Bizzie Lizzie Cafe,5,0,5,5,2013-11-25,51.664767,-4.018649
481402,Black Boy Inn,5,5,0,0,2014-10-15,51.617943,-4.018649
481403,Blaenymaes Primary School,5,5,0,0,2014-12-11,51.654644,-3.974061
481404,Blaenymaes Stores,3,5,10,10,2013-12-06,51.653399,-3.974845
481405,Blas,5,0,0,0,2014-05-08,51.609625,-3.980642
481406,Blas,5,0,0,0,2015-01-19,51.607545,-3.988769
481407,Bloomburger,3,5,10,10,2013-11-11,51.619326,-3.938782
481408,Bloomfield Care Home,5,0,0,5,2014-02-06,51.619755,-3.991557
481409,Bonophool Indian Restaurant,3,10,10,10,2014-10-01,51.647945,-4.038239
481410,Bonymaen Chip Bar,4,5,5,10,2014-02-24,51.6394,-3.912829
481411,Bonymaen Community Centre,5,0,0,5,2014-11-07,51.6394,-3.912829
481412,Bonymaen House Care Centre,5,5,5,0,2013-06-27,51.648244,-3.905931
481413,Bonymaen Kids Play Initiative,5,0,0,5,2015-01-20,51.6394,-3.912829
481414,Bonymaen RFC,1,15,15,20,2015-01-10,51.629499,-3.918419
481415,Booker Cash and Carry,5,5,5,0,2013-10-30,51.665075,-3.911494
481416,Borfa House,5,0,0,0,2014-10-02,51.544814,-4.210229
481417,Bouchon De Rossi,5,5,5,5,2014-06-13,51.618876,-3.949106
481418,Brian West Mobile,3,10,5,10,2014-02-19,51.629694,-3.935525
481419,Britannia Inn,5,0,0,5,2015-01-22,51.616578,-4.247099
481420,British Home Store Restaurant,5,5,0,0,2012-04-04,51.620657,-3.94362
481421,Browns Newsagent,4,10,5,5,2014-07-29,51.643361,-3.941585
481422,Brownsters,5,5,0,0,2015-01-13,51.696337,-3.890775
481423,Brunswick Arms,4,10,5,5,2014-09-29,51.618756,-3.956295
481424,Bryn Lliw,4,10,0,5,2014-10-10,51.687913,-4.039499
481425,Brynfield Manor Nursing Home,5,5,0,5,2014-09-18,51.570738,-4.015172
481426,Brynhyfryd Infants,4,0,10,0,2013-10-08,51.643245,-3.94424
481427,Brynhyfryd Junior School,5,5,0,0,2012-04-24,51.643245,-3.94424
481428,Brynhyfryd Palace,5,5,5,5,2013-07-04,51.641803,-3.94662
481429,Brynmill After School Club,5,0,0,0,2010-11-16,51.612768,-3.971275
481430,Brynmill Primary School,5,0,0,0,2010-12-08,51.612768,-3.971275
481431,Brynmill Stores,5,5,0,5,2014-12-17,51.614439,-3.970885
481432,Builders Arms,3,10,5,10,2011-10-10,51.618409,-3.950704
481433,Buon Appetito,1,10,15,20,2014-04-09,51.625453,-3.941817
481434,Burger King,5,0,0,0,2014-01-13,51.619161,-3.945998
481435,Burger King,5,5,0,0,2013-02-21,51.663738,-3.912553
481436,Burger King,5,5,5,0,2013-10-18,51.679253,-3.99505
481437,Burrows Hall Nursing Home,5,0,0,5,2014-08-07,51.602764,-4.275184
481438,Burrows Service Station,5,0,0,0,2011-05-23,51.621492,-3.908681
481439,Busy Bees Day Nursery,5,5,0,5,2015-01-08,51.674344,-4.003425
481440,Butterflies Flying Start Childcare,5,0,0,0,2014-12-11,51.654644,-3.974061
481441,Byrons Butchers,5,0,0,0,2014-02-14,51.667097,-3.911697
481442,Cadle After School Club,5,0,0,5,2011-06-14,51.647059,-3.98291
481443,Cadle Primary School,5,5,0,5,2014-11-26,51.647059,-3.98291
481444,Caereithin Cafe,4,5,10,5,2014-11-04,51.646883,-3.973073
481445,Cafe 32,3,5,10,10,2014-07-04,51.620798,-3.946516
481446,Cafe Beka,3,5,10,10,2014-07-03,51.619332,-3.946525
481447,Cafe Chino,5,0,0,5,2013-10-23,51.652533,-3.9258
481448,Cafe Continental,3,10,10,10,2014-12-12,51.620878,-3.941723
481449,Cafe Del Mar,5,5,0,0,2014-04-29,51.619313,-3.948763
481450,Cafe Glas,5,0,0,0,2012-12-10,51.609625,-3.980642
481451,Cafe Marks,5,0,0,0,2010-11-22,51.620194,-3.944438
481452,Cafe Memo,5,5,5,5,2014-04-10,51.666258,-3.925052
481453,Cafe Metro,5,0,0,5,2014-03-07,51.622387,-3.98377
481454,Cafe Metro,5,5,5,5,2013-12-16,51.624661,-3.94944
481455,Cafe Nisse,5,5,5,5,2014-01-06,51.619573,-3.939572
481456,Cafe Ole,4,5,0,10,2014-09-09,51.619432,-3.947006
481457,Cafe Play,3,5,10,10,2014-08-20,51.575624,-4.000263
481458,Cafe Stralis,5,0,0,5,2011-04-14,51.652533,-3.9258
481459,Cafe Swansea,4,0,10,5,2014-10-01,51.609223,-3.985275
481460,Cafe Two Cann,5,0,0,0,2011-06-03,51.619686,-3.931112
481461,Cafe Valance,4,5,10,0,2013-11-18,51.575581,-4.002267
481462,Cafe Zest for life,5,5,0,0,2014-12-17,51.666167,-4.037553
481463,Caffe Americano,4,5,10,5,2013-11-15,51.618847,-3.930166
481464,Caffe Latte,5,5,0,0,2014-04-29,,
481465,Caffe Lucia,2,15,10,10,2014-06-18,51.619485,-3.944379
481466,Cake with Slate Gallery,3,10,10,10,2013-03-01,51.574869,-3.999696
481467,Callaghans,5,0,5,0,2013-11-01,51.609625,-3.980642
481468,Calon Fawr Nursing Home Ltd,5,5,0,5,2014-10-13,51.625343,-3.989764
481469,Campanilismo,5,0,0,0,2014-05-09,51.618656,-3.948273
481470,Campion Gardens,3,10,10,10,2014-11-10,51.584991,-4.031363
481471,Campus Cafe,5,0,0,5,2012-11-22,51.625128,-3.974253
481472,Captains Table,5,5,0,5,2014-10-02,51.544814,-4.210229
481473,Car Wash Cafe,5,5,5,5,2014-05-16,51.621492,-3.908681
481474,Cariad Cafe,5,5,5,0,2014-05-14,51.642613,-4.103937
481475,Carol Watts,5,5,5,5,2014-01-09,51.619122,-3.945129
481476,Carreglwyd Caravan Park,4,0,5,10,2011-09-19,51.546697,-4.212903
481477,Casllwchwr Primary School,5,5,0,5,2014-12-10,51.663301,-4.072866
481478,Castellamare,5,5,5,5,2014-12-11,51.565998,-3.981414
481479,Castle Bingo,5,5,0,0,2014-01-29,51.665198,-3.922795
481480,Castle Graig Nursing Home,3,10,5,10,2015-01-06,51.648824,-3.941298
481481,Castle Inn,4,5,0,10,2014-02-27,51.691711,-4.011701
481482,Castle News and Mumbles Video,5,0,0,0,2015-01-29,51.575581,-4.002267
481483,Cefn Coed Hospital,5,5,5,5,2014-10-07,51.62818,-3.988964
481484,Cefn Hengoed Comprehensive School,5,0,0,5,2011-12-15,51.644663,-3.904942
481485,Celebration Cakes,5,0,5,5,2014-08-12,51.618288,-3.9676
481486,Central Fish Bar,5,5,0,5,2014-09-10,51.665636,-3.92572
481487,Chai Tea Room,4,0,10,5,2013-11-13,51.575343,-4.002516
481488,Chaplins Steakhouse Mumbles,5,0,0,0,2014-02-05,51.573149,-3.995652
481489,Charlies Snacks,4,5,5,10,2013-10-01,51.695306,-3.896144
481490,Checkers,2,15,10,0,2013-11-19,51.616609,-3.959438
481491,Cheers Wine Merchants Ltd,5,0,0,0,2013-08-05,51.575624,-4.000262
481492,Chicago Pizza,3,10,10,10,2013-09-24,51.623158,-3.941921
481493,Chicken Cottage Swansea,3,10,5,10,2014-05-13,51.617753,-3.953348
481494,Chicken Diner,5,0,5,5,2015-01-07,51.619583,-3.948775
481495,Chicken King,4,0,5,10,2014-09-18,51.629576,-3.956702
481496,Chicken on the Road,2,10,15,10,2013-07-30,51.632132,-3.939285
