,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
291339,38 New Bridge Street,Exeter,Devon,,@ Angelas,Restaurant/Cafe/Canteen,1,0,,170699,0,,50.71996000000000,PI/000018356,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53613400000000,EX4 3AH,2014-02-20,fhrs_5_en-GB,5,,FHRS,5
291340,Exeter College Further Education,Hele Road,Exeter,Devon,"@34, Exeter College",School/college/university,7845,0,,164277,5,,50.72823100000000,PI/000006039,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53840300000000,EX4 4JS,2014-05-12,fhrs_5_en-GB,5,,FHRS,5
291341,3 Summerland Street,Exeter,Devon,,168 Oriental,Retailers - other,4613,10,,695991,5,,,PI/000073203,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,,EX1 2AY,2014-08-21,fhrs_4_en-GB,4,,FHRS,5
291342,10-12 Palace Gate,Exeter,Devon,,7 Wok,Restaurant/Cafe/Canteen,1,5,,173208,5,,50.72111100000000,PI/000025149,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52996700000000,EX1 1JA,2014-09-02,fhrs_4_en-GB,4,,FHRS,10
291343,21-22 Queen Street,Exeter,Devon,,99p Stores,Retailers - supermarkets/hypermarkets,7840,10,,219052,10,,50.72497800000000,PI/000069510,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53271400000000,EX4 3SH,2014-10-27,fhrs_3_en-GB,3,,FHRS,5
291344,The Old Library,Cowick Street,Exeter,Devon,99p Stores,Retailers - supermarkets/hypermarkets,7840,5,,626522,5,,50.71673400000000,PI/000072238,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53791200000000,EX4 1AH,2014-01-20,fhrs_4_en-GB,4,,FHRS,10
291345,161-163 Fore Street,St Davids,Exeter,Devon,A Little More,Restaurant/Cafe/Canteen,1,5,,352780,0,,50.72152100000000,PI/000069500,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53435800000000,EX4 3AT,2012-04-25,fhrs_5_en-GB,5,,FHRS,5
291346,,,,,A Taste of Wales,Other catering premises,7841,5,,508306,5,,,PI/000025445,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,,,2013-01-31,fhrs_5_en-GB,5,,FHRS,0
291347,328 Pinhoe Road,Exeter,Devon,,Aaron Court Ltd,Hospitals/Childcare/Caring Premises,5,5,,166956,5,,50.73201300000000,PI/000010527,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.49800000000000,EX4 8AS,2014-06-24,fhrs_5_en-GB,5,,FHRS,5
291348,Cathedral Yard,Exeter,Devon,,Abode Hotel,Hotel/bed & breakfast/guest house,7842,5,,178801,5,,50.72348800000000,PI/000050365,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53042700000000,EX1 1HD,2013-05-29,fhrs_5_en-GB,5,,FHRS,5
291349,Market Street,Exeter,Devon,,Acorn Centre,Hospitals/Childcare/Caring Premises,5,5,,165668,0,,50.72134800000000,PI/000008336,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53248200000000,EX1 1BW,2012-06-13,fhrs_5_en-GB,5,,FHRS,5
291350,36 Alphington Road,Exeter,Devon,,Acorns Day Nursery,Hospitals/Childcare/Caring Premises,5,0,,160544,5,,50.71292000000000,PI/000000249,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53734900000000,EX2 8HN,2014-10-31,fhrs_5_en-GB,5,,FHRS,0
291351,88 South Street,Exeter,Devon,,Afriteo,Restaurant/Cafe/Canteen,1,5,,570016,0,,50.72150300000000,PI/000012626,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53163700000000,EX1 1BZ,2013-10-22,fhrs_5_en-GB,5,,FHRS,5
291352,124-125 Sidwell Street,Exeter,Devon,,Al Baraka Butchery,Retailers - other,4613,10,,667201,5,,50.72801300000000,PI/000073002,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52212900000000,EX4 6RY,2014-05-21,fhrs_4_en-GB,4,,FHRS,5
291353,3 Cathedral Yard,Exeter,Devon,,Al Farid,Restaurant/Cafe/Canteen,1,5,,456755,5,,50.72243400000000,PI/000069610,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53195100000000,EX1 1HJ,2014-03-26,fhrs_5_en-GB,5,,FHRS,5
291354,Exhibition Way,Exeter,Devon,,Aldi Foodstore Ltd,Retailers - supermarkets/hypermarkets,7840,5,,180751,5,,50.73607800000000,PI/000066601,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.48249800000000,EX4 8JD,2013-04-05,fhrs_5_en-GB,5,,FHRS,5
291355,Unit 2,Alphington Road,Exeter,Devon,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,0,,172388,5,,50.71302900000000,PI/000023028,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53660200000000,EX2 8HP,2012-05-22,fhrs_5_en-GB,5,,FHRS,0
291356,Alliance Healthcare Distribution Ltd,Cofton Road,Marsh Barton Trading Estate,Exeter,Alliance Healthcare,Restaurant/Cafe/Canteen,1,0,,173410,5,,50.70072700000000,PI/000025639,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.51939000000000,EX2 8QW,2013-05-16,fhrs_5_en-GB,5,,FHRS,5
291357,72 Church Road,Alphington,Exeter,Devon,Alphington Community Centre,Retailers - other,4613,5,,162186,5,,50.70041200000000,PI/000002533,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53379600000000,EX2 8TA,2012-07-04,fhrs_5_en-GB,5,,FHRS,5
291358,1 St Michaels Close,Exeter,Devon,,Alphington Lodge,Hospitals/Childcare/Caring Premises,5,0,,168442,0,,50.69995400000000,PI/000013202,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53172800000000,EX2 8XH,2014-03-31,fhrs_5_en-GB,5,,FHRS,0
291359,Post Office,61-63 Church Road,Alphington,Exeter,Alphington Post Office,Retailers - other,4613,10,,162183,5,,50.70305900000000,PI/000002528,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53425100000000,EX2 8SW,2012-06-19,fhrs_4_en-GB,4,,FHRS,0
291360,72 Church Road,Alphington,Exeter,Devon,Alphington Pre-School,Hospitals/Childcare/Caring Premises,5,0,,162187,5,,50.70041200000000,PI/000002534,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53379600000000,EX2 8TA,2012-06-20,fhrs_5_en-GB,5,,FHRS,5
291361,Wheatsheaf Way,Exeter,Devon,,Alphington Primary School,School/college/university,7845,5,,169329,5,,50.70055700000000,PI/000014880,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53915400000000,EX2 8RQ,2014-09-11,fhrs_5_en-GB,5,,FHRS,5
291362,Church Road,Alphington,Exeter,Devon,Alphington Sports Club,Pub/bar/nightclub,7843,10,,162191,5,,50.70305900000000,PI/000002539,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53425100000000,EX2 8SW,2014-04-16,fhrs_3_en-GB,3,,FHRS,10
291363,St. Andrew's Church,Station Road,Exwick,Exeter,Andy's Cafe,Restaurant/Cafe/Canteen,1,10,,633175,5,,50.73233000000000,PI/000070419,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.54874000000000,EX4 2AA,2013-10-31,fhrs_3_en-GB,3,,FHRS,10
291364,98 Fore Street,Heavitree,Exeter,Devon,Anna Marie's,Restaurant/Cafe/Canteen,1,20,,559667,15,,50.72111100000000,PI/000023459,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.50231300000000,EX1 2RS,2014-06-18,fhrs_1_en-GB,1,,FHRS,15
291365,7 Otter Court,Manaton Close,Exeter,Devon,Apetito Ltd,Other catering premises,7841,0,,165585,0,,50.69743800000000,PI/000008206,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52603800000000,EX2 8PF,2012-10-18,fhrs_5_en-GB,5,,FHRS,0
291366,151-152 Cowick Street,Exeter,Devon,,Apple Blossom Cafe,Restaurant/Cafe/Canteen,1,0,,695993,5,,50.71655300000000,PI/000073742,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.54147700000000,EX4 1AS,2014-08-20,fhrs_5_en-GB,5,,FHRS,5
291367,12 Oaktree Place,Manaton Close,Exeter,Devon,Aquasource (UK) Ltd,Retailers - other,4613,0,,178836,0,,50.69819900000000,PI/000050486,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52562400000000,EX2 8WA,2012-05-09,fhrs_5_en-GB,5,,FHRS,0
291368,13 Buddle Lane,Exeter,Devon,,Argee Bhajee,Restaurant/Cafe/Canteen,1,10,,181087,5,,50.71531800000000,PI/000068650,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.54775400000000,EX4 1JU,2015-01-28,fhrs_4_en-GB,4,,FHRS,5
291369,81 South Street,Exeter,Devon,,Arobart Ltd,Retailers - other,4613,5,,667189,5,,50.72150300000000,PI/000070540,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53163700000000,EX1 1EQ,2014-05-20,fhrs_4_en-GB,4,,FHRS,10
291370,67 Fore Street,Topsham,Devon,,Arthurs Butchery & Deli,Retailers - other,4613,5,,163513,5,,50.68312400000000,PI/000004847,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.46556900000000,EX3 0HL,2014-12-18,fhrs_5_en-GB,5,,FHRS,5
291371,248 High Street,Exeter,Devon,,Artigiano Expresso & Wine Bar,Restaurant/Cafe/Canteen,1,0,,635089,5,,50.72550800000000,PI/000068275,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52794200000000,EX4 3PZ,2014-01-23,fhrs_5_en-GB,5,,FHRS,5
291372,The Flat,5 Summer Lane,Exeter,Devon,Asia Chinese Takeaway,Takeaway/sandwich shop,7844,5,,168590,5,,50.73298600000000,PI/000013458,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.49149800000000,EX4 8BT,2014-12-11,fhrs_5_en-GB,5,,FHRS,0
291373,Ask,Exeter,Devon,,Ask,Restaurant/Cafe/Canteen,1,0,,682944,0,,50.72295700000000,PI/000070441,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52909200000000,EX1 1EZ,2014-11-14,fhrs_5_en-GB,5,,FHRS,5
291374,Wellpark House,Alphington Street,Exeter,Devon,Assisted Living SW Ltd,Hospitals/Childcare/Caring Premises,5,5,,406109,0,,50.71552500000000,PI/000021536,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.53618800000000,EX2 8AU,2012-06-13,fhrs_5_en-GB,5,,FHRS,0
291375,Exeter Cricket Club,Prince Of Wales Road,Exeter,Devon,Astridges,Other catering premises,7841,0,,607151,0,,50.73369300000000,PI/000070686,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.52792500000000,EX4 4PR,2013-10-25,fhrs_5_en-GB,5,,FHRS,5
291376,Devon Partnership NHS Trust,1 & 2,Hospital Lane,Exeter,ASU (Additional Support Unit),Hospitals/Childcare/Caring Premises,5,5,,626521,10,,50.73098500000000,PI/000068585,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.48415100000000,EX1 3RB,2014-01-21,fhrs_4_en-GB,4,,FHRS,0
291377,Oxygen House,Grenadier Road,Exeter,Devon,Atass Ltd,Restaurant/Cafe/Canteen,1,5,,410365,0,,50.72757400000000,PI/000069526,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.46799000000000,EX1 3LH,2014-11-07,fhrs_5_en-GB,5,,FHRS,0
291378,The Atkinson Unit,Beacon Lane,Exeter,Devon,Atkinson Unit,Hospitals/Childcare/Caring Premises,5,0,,179418,5,,50.73608000000000,PI/000056915,073,environmental.health@exeter.gov.uk,Exeter City,http://www.exeter.gov.uk,-3.49708100000000,EX4 8NA,2014-05-20,fhrs_5_en-GB,5,,FHRS,0
