,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
295003,Domestic Property,,,,9 Buttercup Road,Other catering premises,7841,5,,36778,5,,50.73246002197266,10/65/FOOD,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.79749202728271,Devon,2013-08-08,fhrs_5_en-GB,5,,FHRS,5
295004,Domestic Property,,,,A Cake from Heaven,Other catering premises,7841,5,,36783,5,,50.73246002197266,10/80/FOOD,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.79749202728271,Devon,2011-03-23,fhrs_5_en-GB,5,,FHRS,5
295005,16 High Street Crediton Devon,,,,A J Cox Butcher,Manufacturers/packers,7839,0,,8430,0,,50.79038300000000,03/680/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.65847300000000,EX17 3AG,2014-02-25,fhrs_5_en-GB,5,,FHRS,0
295006,Duffield House St Pauls Square Tiverton Devon,,,,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,5,,188131,0,,50.90300000000000,03/446/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.49300000000000,EX16 5HZ,2013-10-29,fhrs_5_en-GB,5,,FHRS,0
295007,25 Duke Street Cullompton Devon,,,,ABC Day Nursery,Hospitals/Childcare/Caring Premises,5,0,,23798,0,,50.85329800000000,07/42/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.39095500000000,EX15 1DW,2013-01-22,fhrs_5_en-GB,5,,FHRS,5
295008,Domestic Property,,,,Absolutely Cupcaked,Other catering premises,7841,5,,36772,5,,50.73246002197266,10/54/FOOD,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.79749202728271,Devon,2010-09-06,fhrs_5_en-GB,5,,FHRS,5
295009,Acer House 1A Newton Square Bampton Tiverton Devon,,,,Acer Catering,Other catering premises,7841,0,,8347,5,,50.99063500000000,03/34/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.48750400000000,EX16 9NE,2014-01-23,fhrs_5_en-GB,5,,FHRS,5
295010,Domestic Property,,,,Adventure In Cake,Other catering premises,7841,0,,36719,5,,50.73246002197266,10/100/FOOD,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.79749202728271,Devon,2010-11-18,fhrs_5_en-GB,5,,FHRS,0
295011,Tiverton Age Concern Broad Lane Tiverton Devon,,,,Age UK Haven Centre,Hospitals/Childcare/Caring Premises,5,0,,624420,0,,50.90037800000000,13/82/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.49409700000000,EX16 5HE,2013-11-22,fhrs_5_en-GB,5,,FHRS,0
295012,21 West Exe South Tiverton Devon,,,,Ali Baba's Take Away,Takeaway/sandwich shop,7844,5,,8191,5,,50.90116900000000,03/1227/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.49129200000000,EX16 5DJ,2013-10-18,fhrs_4_en-GB,4,,FHRS,10
295013,Commonmarsh Lane Crediton Devon,,,,Al's Grills,Retailers - other,4613,5,,8282,5,,50.79117100000000,03/1595/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.63516100000000,EX17 1HN,2014-01-24,fhrs_5_en-GB,5,,FHRS,5
295014,13 St Peter Street Tiverton Devon,,,,Angel Guest House,Hotel/bed & breakfast/guest house,7842,5,,8200,5,,50.90365400000000,03/1238/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.48899600000000,EX16 6NU,2010-10-26,fhrs_5_en-GB,5,,FHRS,5
295015,Domestic Property,,,,Annie's Cakes,Retailers - other,4613,0,,49540,0,,50.73246002197266,11/54/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.79749202728271,Devon,2011-05-18,fhrs_5_en-GB,5,,FHRS,0
295016,Domestic Property,,,,Ashdowne Care Centre,Hospitals/Childcare/Caring Premises,5,0,,8125,0,,50.73246002197266,03/1069/FOOD,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.79749202728271,Devon,2013-09-18,fhrs_5_en-GB,5,,FHRS,5
295017,Main Road Ashill Cullompton Devon,,,,Ashill Inn,Pub/bar/nightclub,7843,5,,8318,0,,50.89469700000000,03/251/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.30007500000000,EX15 3NL,2014-05-28,fhrs_5_en-GB,5,,FHRS,5
295018,Ashley Court Chawleigh Road Eggesford Devon,,,,Ashley Court,Hospitals/Childcare/Caring Premises,5,5,,8356,0,,50.89908200000000,03/373/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.84833300000000,EX18 7EX,2014-07-10,fhrs_5_en-GB,5,,FHRS,0
295019,Ashley Gables Ashley Tiverton Devon,,,,Ashley Gables B&B,Hotel/bed & breakfast/guest house,7842,5,,36779,5,,50.88906300000000,10/68/FOOD,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.49775800000000,EX16 5PA,2013-08-21,fhrs_5_en-GB,5,,FHRS,5
295020,Ashtons Coffee Lounge Ltd 9 Market Street Crediton Devon,,,,Ashtons Coffee Lounge,Restaurant/Cafe/Canteen,1,0,,36770,0,,50.79100200000000,10/49/JFOOSA,074,ehadmin@middevon.gov.uk,Mid Devon,http://www.middevon.gov.uk,-3.65794200000000,EX17 2AJ,2014-01-17,fhrs_5_en-GB,5,,FHRS,0
