,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
73855,Twyford Road,Willington,Derbyshire,,1st Willington Scout Group,Other catering premises,7841,,,727430,,,,C04150TWYF/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,,DE65 6DF,2013-10-02,fhrs_exempt_en-GB,Exempt,,FHRS,
73856,Woodville Scout Centre,Rose Hill,"Woodville, Swadlincote, Derbys",,1st Woodville (St. Stephens) Scout Group,Other catering premises,7841,,,727426,,,52.77059700000000,C04*51WOOD/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.53943800000000,DE11 7JQ,2013-03-01,fhrs_exempt_en-GB,Exempt,,FHRS,
73857,John Street,Church Gresley,"Swadlincote, Derbyshire",,50's American Diner,Restaurant/Cafe/Canteen,1,0,,152206,5,,52.76440100000000,C03143JOHN/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.55272300000000,DE11 8EJ,2014-02-08,fhrs_5_en-GB,5,,FHRS,5
73858,,,,,A & S Mobile Catering,Mobile caterer,7846,0,,727449,0,,,C0914314DR/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,,,2013-03-28,fhrs_5_en-GB,5,,FHRS,0
73859,45 Linton Road,Castle Gresley,"Swadlincote, Derbyshire",,A&B Stores,Retailers - other,4613,20,,627034,10,,52.75396100000000,1AB10945LI/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.58409200000000,DE11 9HS,2014-01-08,fhrs_1_en-GB,1,,FHRS,15
73860,23b High Street,Newhall,"Swadlincote, Derbyshire",,Albany Cakes,Retailers - other,4613,10,,157645,5,,52.78514400000000,F0214323BH/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.57608500000000,DE11 0HX,2014-02-04,fhrs_3_en-GB,3,,FHRS,10
73861,Coppice Side,Swadlincote,Derbyshire,,Aldi Stores Limited,Retailers - supermarkets/hypermarkets,7840,0,,611347,0,,52.77075100000000,1AB543COPP/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.55376900000000,DE11 9AA,2013-09-16,fhrs_5_en-GB,5,,FHRS,0
73862,Huntspill Road,Hilton,Derby,,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,5,,643770,5,,52.87158600000000,1AB125HUNT/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.62949900000000,DE65 5JR,2014-04-23,fhrs_5_en-GB,5,,FHRS,5
73863,59 Derby Road,Melbourne,"Derby, Derbyshire",,Alma Inn,Pub/bar/nightclub,7843,5,,211010,5,,52.82468600000000,1AB53159DE/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.42922500000000,DE73 8FE,2013-03-19,fhrs_5_en-GB,5,,FHRS,5
73864,50 Derby Road,Melbourne,"Derby, Derbyshire",,Amalfi White Bar and Restaurant,Restaurant/Cafe/Canteen,1,10,,621045,10,,52.82468600000000,1AB53150DE/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.42922500000000,DE73 8FE,2013-12-11,fhrs_3_en-GB,3,,FHRS,10
73865,53 Market Street,Church Gresley,"Swadlincote, Derbyshire",,Andy's Fish Bar,Takeaway/sandwich shop,7844,5,,153040,5,,52.76420000000000,C1214353MA/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.55932000000000,DE11 9PR,2014-11-05,fhrs_5_en-GB,5,,FHRS,5
73866,Church Street,Swadlincote,Derbyshire,,Angel Inn,Pub/bar/nightclub,7843,10,,230324,5,,52.77477200000000,1AB143CHUR/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.55217200000000,DE11 8LF,2013-08-08,fhrs_4_en-GB,4,,FHRS,5
73867,Derby Road,Egginton,"Derby, Derbyshire",,Anoki,Restaurant/Cafe/Canteen,1,5,,230328,5,,52.84819400000000,1AB117DERB/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.59070600000000,DE65 6GZ,2014-03-27,fhrs_5_en-GB,5,,FHRS,5
73868,Ash Lane,Etwall,"Derby, Derbyshire",,Ashe Fields Rest Home,Hospitals/Childcare/Caring Premises,5,,,151799,,,52.89635400000000,BLB*01ASHL/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.61894200000000,DE65 6HT,2014-07-30,fhrs_5_en-GB,5,,FHRS,
73869,1 Derby Road,Aston On Trent,"Derby, Derbyshire",,Aston on Trent Post Office,Retailers - other,4613,5,,595307,0,,52.86477600000000,1AB5021DER/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.38538400000000,DE72 2AE,2013-10-15,fhrs_5_en-GB,5,,FHRS,0
73870,Long Croft,Aston On Trent,"Derby, Derbyshire",,Aston On Trent Primary School,School/college/university,7845,5,,159738,5,,52.86282800000000,P01X02LONG/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.38600600000000,DE72 2UH,2015-01-28,fhrs_5_en-GB,5,,FHRS,5
73871,194 Station Road,Hatton,"Derby, Derbyshire",,Atwal Stores,Retailers - other,4613,0,,230327,0,,52.86931400000000,1AB124194S/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.67980500000000,DE65 5EH,2013-01-28,fhrs_5_en-GB,5,,FHRS,5
73872,39 Linton Road,Castle Gresley,"Swadlincote, Derbyshire",,B J Wilson Retail Pharmacy,Retailers - other,4613,,,727513,,,52.75396100000000,F0810939LI/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.58409200000000,DE11 9HS,2012-07-16,fhrs_exempt_en-GB,Exempt,,FHRS,
73873,43 High Street,Swadlincote,Derbyshire,,B&M Stores,Retailers - other,4613,10,,543312,10,,52.77351900000000,1AB54343HI/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.55583100000000,DE11 8JE,2013-04-23,fhrs_3_en-GB,3,,FHRS,10
73874,Drakelow Road,Walton On Trent,"Swadlincote, Derbyshire",,Badger's Rest Guest House B&B,Hotel/bed & breakfast/guest house,7842,5,,578439,5,,52.76736200000000,BTBX48DRAK/1,069,environmental.health@south-derbys.gov.uk,South Derbyshire,http://www.south-derbys.gov.uk,-1.65640900000000,DE15 9TY,2013-08-16,fhrs_5_en-GB,5,,FHRS,0
