,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
304472,The Bakery And Post Office,A379 Through Frogmore,Frogmore,Kingsbridge,@ The Bakery Frogmore,Manufacturers/packers,7839,0,,451283,5,,50.27109100000000,PI/000069829,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.72068500000000,TQ7 2NT,2014-05-15,fhrs_5_en-GB,5,,FHRS,5
304473,11 Fore Street,Kingsbridge,,,@11s Kingsbridge,Manufacturers/packers,7839,10,,233245,5,,50.28477200000000,PI/000005847,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.77739800000000,TQ7 1PG,2013-10-23,fhrs_4_en-GB,4,,FHRS,5
304474,Ivybridge,,,,17 Yeolland Lane,Other catering premises,7841,5,,451275,5,,50.38847700000000,PI/000021795,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.91539800000000,PL21 0YL,2012-09-19,fhrs_5_en-GB,5,,FHRS,5
304475,Cornwood,Ivybridge,,,18 Abbotts Park,Other catering premises,7841,0,,462785,0,,50.41761500000000,PI/000042803,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.96356200000000,PL21 9PP,2012-10-15,fhrs_5_en-GB,5,,FHRS,0
304476,Hill Park to Holly Villas,Ashprington,Totnes,,3 Holly Villas,Hotel/bed & breakfast/guest house,7842,10,,173073,0,,50.40198500000000,PI/000024843,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.66169000000000,TQ9 7UU,2011-10-05,fhrs_4_en-GB,4,,FHRS,0
304477,Chillington,Kingsbridge,,,4 Pendeen Park,Other catering premises,7841,,,338251,,,50.27357500000000,PI/000022073,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.69489600000000,TQ7 2JW,2012-03-23,fhrs_exempt_en-GB,Exempt,,FHRS,
304478,8 Brooklands,Totnes,,,8 Bakes,Manufacturers/packers,7839,,,173230,,,50.43004800000000,PI/000025192,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.67657000000000,TQ9 5AR,2014-07-23,fhrs_exempt_en-GB,Exempt,,FHRS,
304479,Saffron Park,Kingsbridge,,,Abbeyfield House,Hospitals/Childcare/Caring Premises,5,0,,612522,0,,50.28549500000000,PI/000011997,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.77364800000000,TQ7 1RL,2013-10-23,fhrs_5_en-GB,5,,FHRS,0
304480,Trehill Road,Ivybridge,,,Abbeyfield House,Hospitals/Childcare/Caring Premises,5,10,,169991,5,,50.38992000000000,PI/000016329,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.91347200000000,PL21 0AZ,2014-11-24,fhrs_4_en-GB,4,,FHRS,0
304481,Dartmouth Childrens Centre,Milton Lane,Dartmouth,,Action for Children,Hospitals/Childcare/Caring Premises,5,5,,703815,0,,50.34674900000000,PI/000069051,077,environmental.health@southhams.gov.uk,South Hams,http://www.southhams.gov.uk/,-3.59583700000000,TQ6 9HW,2014-09-17,fhrs_5_en-GB,5,,FHRS,0
