,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
296948,Royal School of Signals,Nelson Road,Blandford Camp,Blandford Forum,20/20,Pub/bar/nightclub,7843,5,,341758,5,,50.86830400000000,24514,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,-2.12511200000000,DT11 8RH,2013-01-31,fhrs_5_en-GB,5,,FHRS,5
296949,,,,,3 Ivy Cross (Bed and Breakfast),Hotel/bed & breakfast/guest house,7842,,,643928,,,,37611,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,,,2014-04-14,fhrs_exempt_en-GB,Exempt,,FHRS,
296950,,Station Road,Gillingham,Dorset,918,Restaurant/Cafe/Canteen,1,5,,331609,10,,51.03496700000000,36682,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,-2.27304000000000,SP8 4QA,2014-02-26,fhrs_4_en-GB,4,,FHRS,5
296951,,,,,A Different Kettle of Fish,Retailers - other,4613,,,331593,,,,35956,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,,,2014-02-28,fhrs_exempt_en-GB,Exempt,,FHRS,
296952,,,,,A J Catering,Mobile caterer,7846,5,,331800,5,,,37118,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,,,2013-03-11,fhrs_5_en-GB,5,,FHRS,5
296953,,7a East Street,Blandford Forum,Dorset,A-55 Tearoom,Restaurant/Cafe/Canteen,1,5,,571751,5,,50.85638100000000,37530,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,-2.16098100000000,DT11 7DU,2013-07-23,fhrs_5_en-GB,5,,FHRS,5
296954,,,,,Abbey Tuck Shop,Retailers - other,4613,,,331627,,,,36794,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,,,2015-01-08,fhrs_exempt_en-GB,Exempt,,FHRS,
296955,,9 Bell Street,Shaftesbury,Dorset,Abbotts Greengrocers,Retailers - other,4613,,,331589,,,51.00662300000000,35714,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,-2.19706300000000,SP7 8AR,2011-09-22,fhrs_exempt_en-GB,Exempt,,FHRS,
296956,,The Chalk,Iwerne Minster,Blandford Forum,Abingdon Hall,Other catering premises,7841,,,341674,,,50.92798800000000,15884,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,-2.19058300000000,DT11 8NA,2013-12-12,fhrs_exempt_en-GB,Exempt,,FHRS,
296957,,,,,Absolute Catering/Billies Baguettes,Other catering premises,7841,0,,331759,5,,,37031,086,envlicens@north-dorset.gov.uk,North Dorset,http://www.dorsetforyou.com,,,2014-05-17,fhrs_5_en-GB,5,,FHRS,0
