,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
19444,,St Benedicts Court,Huntingdon,,147 Snooker Club,Other catering premises,7841,5,,418710,5,,52.32971300000000,453,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.18352600000000,PE29 3PN,2010-04-20,fhrs_5_en-GB,5,,FHRS,5
19445,Tollfield House,Thrapston Road,Kimbolton,Huntingdon,1st Kimbolton Scout Hut,Other catering premises,7841,,,448979,,,52.29863200000000,1387,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.39071700000000,PE28 0HW,2010-03-01,fhrs_exempt_en-GB,Exempt,,FHRS,
19446,,111 High Street,Huntingdon,,99p Store Ltd,Retailers - other,4613,0,,341178,0,,52.33070500000000,15330,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.18373500000000,PE29 3LD,2013-10-07,fhrs_4_en-GB,4,,FHRS,10
19447,,,,,A Piece Of Cake,Other catering premises,7841,,,554701,,,,19229,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,,,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
19448,,Abbey Road,Ramsey,Huntingdon,Abbey College Ramsey,School/college/university,7845,5,,622348,5,,52.44738700000000,19961,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.09756400000000,PE26 1DG,2013-12-11,fhrs_5_en-GB,5,,FHRS,5
19449,,Moat Lane,Abbots Ripton,Huntingdon,Abbots Elm,Restaurant/Cafe/Canteen,1,5,,486612,5,,52.38558500000000,18491,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.19060900000000,PE28 2PA,2014-07-10,fhrs_5_en-GB,5,,FHRS,0
19450,Cambridge Golf & Conference Centre,Cambridge Road,Hemingford Abbots,Huntingdon,Abbots Events Ltd,Restaurant/Cafe/Canteen,1,5,,619425,5,,52.31023600000000,19915,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.12701000000000,PE28 9HQ,2013-11-27,fhrs_5_en-GB,5,,FHRS,5
19451,,Wennington Road,Abbots Ripton,Huntingdon,Abbots Ripton School,School/college/university,7845,0,,341364,0,,52.38723500000000,34,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.19267200000000,PE28 2LT,2014-11-11,fhrs_5_en-GB,5,,FHRS,0
19452,,Station Road,Abbots Ripton,Huntingdon,Abbots Ripton Village Store,Retailers - other,4613,10,,624686,0,,52.38558500000000,20009,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.19060900000000,PE28 2PA,2014-01-06,fhrs_4_en-GB,4,,FHRS,10
19453,,Drewels Lane,Eynesbury Hardwicke,St Neots,Abbotsley Golf Club,Hotel/bed & breakfast/guest house,7842,0,,341215,5,,52.19429800000000,15923,030,food@huntingdonshire.gov.uk,Huntingdonshire,http://www.huntingdonshire.gov.uk,-0.23538900000000,PE19 6XN,2013-11-07,fhrs_5_en-GB,5,,FHRS,5
