,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
49394,,,,,1st Choice Cakes,Other catering premises,7841,5,,569652,5,,,PI/000071955,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,,,2013-06-21,fhrs_5_en-GB,5,,FHRS,0
49395,132 Chatsworth Road,Chesterfield,Derbyshire,,3 Bros,Takeaway/sandwich shop,7844,5,,215218,10,,53.23428700000000,PI/000061004,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.44388500000000,S40 2AR,2014-08-18,fhrs_4_en-GB,4,,FHRS,5
49396,104 High Street,New Whittington,Chesterfield,Derbyshire,A Bite To Eat,Takeaway/sandwich shop,7844,5,,215182,5,,53.27505000000000,PI/000064297,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.40630100000000,S43 2AL,2013-08-06,fhrs_4_en-GB,4,,FHRS,10
49397,York House,St Marys Gate,Chesterfield,Derbyshire,Abacus,Pub/bar/nightclub,7843,0,,704021,10,,53.23479600000000,PI/000073766,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42419200000000,S41 7TH,2014-09-16,fhrs_4_en-GB,4,,FHRS,10
49398,1 Cobden Road,Chesterfield,Derbyshire,,Abbeydale Hotel,Hotel/bed & breakfast/guest house,7842,0,,214993,0,,53.24117600000000,PI/000001419,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.43513500000000,S40 4TD,2014-05-16,fhrs_5_en-GB,5,,FHRS,0
49399,The Den,Hobnar Lane,Chesterfield,Derbyshire,Abc Nursery,Hospitals/Childcare/Caring Premises,5,10,,214677,5,,53.25770200000000,PI/000001838,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.36966600000000,S43 3SD,2014-06-20,fhrs_4_en-GB,4,,FHRS,5
49400,Higher Albert Street,Chesterfield,Derbyshire,,Abercrombie School,School/college/university,7845,0,,214845,0,,53.24291100000000,PI/000070329,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42943300000000,S41 7QE,2013-12-16,fhrs_5_en-GB,5,,FHRS,0
49401,62-64 Brockwell Lane,Chesterfield,Derbyshire,,Abigails Guest House,Hotel/bed & breakfast/guest house,7842,5,,214686,5,,53.24195700000000,PI/000000251,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.44452000000000,S40 4EE,2012-10-12,fhrs_5_en-GB,5,,FHRS,5
49402,43A Victoria Street,Chesterfield,Derbyshire,,Ability,Hospitals/Childcare/Caring Premises,5,0,,215093,0,,53.24140300000000,PI/000060232,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42985800000000,S41 7LP,2014-02-13,fhrs_5_en-GB,5,,FHRS,0
49403,,,,,Able Catering,Other catering premises,7841,5,,214796,5,,,PI/000001842,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,,,2014-02-06,fhrs_5_en-GB,5,,FHRS,5
49404,,,,,Ace Cakes,Other catering premises,7841,10,,421412,0,,,PI/000071899,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,,,2012-07-05,fhrs_4_en-GB,4,,FHRS,5
49405,The Acorns,56 Sheffield Road,Stonegravels,Chesterfield,Acorns Guest House,Hotel/bed & breakfast/guest house,7842,5,,214959,0,,53.24272700000000,PI/000000241,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42681300000000,S41 7LS,2013-07-03,fhrs_5_en-GB,5,,FHRS,0
49406,Mary Swanwick Primary School,Church Street North,Chesterfield,Derbyshire,After School Club Ltd,Hospitals/Childcare/Caring Premises,5,5,,214945,5,,53.27201800000000,PI/000001734,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42595700000000,S41 9QW,2015-01-16,fhrs_4_en-GB,4,,FHRS,10
49407,35 Derby Road,Chesterfield,Derbyshire,,Alans Corner Shop,Retailers - other,4613,10,,215377,5,,53.22636100000000,PI/000000184,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42539900000000,S40 2EF,2014-01-31,fhrs_4_en-GB,4,,FHRS,5
49408,6 Woodthorpe Road,Chesterfield,Derbyshire,,Albert Inn,Pub/bar/nightclub,7843,10,,214798,5,,53.26638100000000,PI/000059985,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.32449900000000,S43 3BZ,2013-09-25,fhrs_4_en-GB,4,,FHRS,0
49409,5 Theatre Yard,Chesterfield,Derbyshire,,Alcoco Chocolates,Retailers - other,4613,5,,215139,5,,53.23484800000000,PI/000069226,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42763700000000,S40 1PF,2014-11-18,fhrs_5_en-GB,5,,FHRS,0
49410,Lockoford Road,Chesterfield,Derbyshire,,Aldi Foodstore,Retailers - supermarkets/hypermarkets,7840,0,,633604,0,,53.25112300000000,PI/000073058,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42691100000000,S41 7EW,2014-02-06,fhrs_5_en-GB,5,,FHRS,0
49411,Infirmary Road,Chesterfield,Derbyshire,,Alexandra Private Hospital,Hospitals/Childcare/Caring Premises,5,0,,215242,0,,53.24222900000000,PI/000010659,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42412300000000,S41 7NF,2014-02-10,fhrs_5_en-GB,5,,FHRS,5
49412,,,,,Alisons Cakes,Other catering premises,7841,10,,569654,0,,,PI/000072064,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,,,2013-07-11,fhrs_4_en-GB,4,,FHRS,0
49413,Lowgates,Chesterfield,Derbyshire,,All Inn,Pub/bar/nightclub,7843,10,,214788,5,,53.26952500000000,PI/000060079,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.34176800000000,S43 3TX,2013-08-05,fhrs_4_en-GB,4,,FHRS,0
49414,,,,,Americano Ice Cream,Retailers - other,4613,10,,214968,5,,,PI/000000851,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,,,2014-09-22,fhrs_3_en-GB,3,,FHRS,10
49415,4 Factory Street,Chesterfield,Derbyshire,,Anchor Inn,Pub/bar/nightclub,7843,0,,595488,5,,,PI/000072913,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,,S40 2BN,2013-10-04,fhrs_4_en-GB,4,,FHRS,10
49416,54 Mansfield Road,Chesterfield,Derbyshire,,Andys Fish Bar,Takeaway/sandwich shop,7844,0,,215046,5,,53.22039400000000,PI/000071168,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.40735700000000,S41 0JA,2014-01-14,fhrs_5_en-GB,5,,FHRS,0
49417,34 Clarence Road,Chesterfield,Derbyshire,,Anis Louise Guest House,Hotel/bed & breakfast/guest house,7842,5,,215348,0,,53.23674300000000,PI/000063674,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.43492400000000,S40 1LN,2014-05-01,fhrs_5_en-GB,5,,FHRS,0
49418,Chesterfield Road,Brimington,Chesterfield,Derbyshire,Ark Tavern,Pub/bar/nightclub,7843,20,,679128,10,,53.25633400000000,PI/000073348,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.39885600000000,S43 1AD,2014-06-23,fhrs_1_en-GB,1,,FHRS,10
49419,6 Corporation Street,Chesterfield,Derbyshire,,Aruba,Pub/bar/nightclub,7843,5,,215376,0,,53.23677600000000,PI/000001551,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42302700000000,S41 7TP,2014-10-24,fhrs_5_en-GB,5,,FHRS,0
49420,358 Sheffield Road,Whittington Moor,Chesterfield,Derbyshire,Asda,Retailers - supermarkets/hypermarkets,7840,10,,357062,5,,53.25139400000000,PI/000071719,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42905000000000,S41 8JZ,2014-05-07,fhrs_4_en-GB,4,,FHRS,0
49421,Ravenside Retail Park,Park Road,Chesterfield,Derbyshire,Asda,Restaurant/Cafe/Canteen,1,0,,718284,0,,53.23274900000000,PI/000073871,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.42854900000000,S40 1TB,2014-11-03,fhrs_5_en-GB,5,,FHRS,0
49422,18 Lee Road,Chesterfield,Derbyshire,,Ashcroft Care Home,Hospitals/Childcare/Caring Premises,5,0,,214794,5,,53.23013900000000,PI/000000846,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.40046600000000,S41 0BT,2014-04-23,fhrs_5_en-GB,5,,FHRS,5
49423,Ashgate Road,Chesterfield,Derbyshire,,Ashgate Croft School,School/college/university,7845,0,,214947,0,,53.24066700000000,PI/000043436,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.45716800000000,S40 4BN,2013-09-12,fhrs_5_en-GB,5,,FHRS,5
49424,15 Gladstone Road,Chesterfield,Derbyshire,,Ashleigh Residential Home,Hospitals/Childcare/Caring Premises,5,5,,215266,0,,53.24154900000000,PI/000000329,064,food@chesterfield.gov.uk,Chesterfield,http://www.chesterfield.gov.uk,-1.43611900000000,S40 4TE,2015-01-12,fhrs_5_en-GB,5,,FHRS,5
