,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
13866,Ely,Cambridgeshire,,,29 Waterside,Hotel/bed & breakfast/guest house,7842,5,,336184,5,,52.39668300000000,07/00163/FOOD,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.27029800000000,CB7 4AU,2010-09-29,fhrs_5_en-GB,5,,FHRS,5
13867,3 Three Cups Walk,Ely,Cambridgeshire,,3At3 Licensed Cafe,Restaurant/Cafe/Canteen,1,0,,336376,0,,52.39873800000000,11/00019/MIXED,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.26634600000000,CB7 4AN,2014-12-02,fhrs_5_en-GB,5,,FHRS,0
13868,Medrena House,72 Wisbech Road,Littleport,Ely,72 B & B,Hotel/bed & breakfast/guest house,7842,5,,336186,5,,52.46134200000000,07/00166/FOOD,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.29368800000000,CB6 1JJ,2010-09-29,fhrs_5_en-GB,5,,FHRS,5
13869,24 High Street,Soham,Ely,Cambridgeshire,A Tasca,Restaurant/Cafe/Canteen,1,20,,336258,10,,52.33261700000000,09/00015/MIXED,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.33843800000000,CB7 5HE,2014-07-24,fhrs_1_en-GB,1,,FHRS,10
13870,,,,,A10 Chip Van,Mobile caterer,7846,0,,336710,0,,,SR100/0010/1/002,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,,,2013-12-19,fhrs_5_en-GB,5,,FHRS,5
13871,Acremont House,30 Egremont Street,Ely,Cambridgeshire,Acremont House School,School/college/university,7845,0,,336514,0,,52.40190300000000,E0265/0030/1/001,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.26161300000000,CB6 1AE,2014-06-26,fhrs_5_en-GB,5,,FHRS,0
13872,Alderton House,5 Wellington Street,Littleport,Ely,AITCH Care Homes (London) Ltd,Hospitals/Childcare/Caring Premises,5,10,,558745,10,,52.45774800000000,11/00085/MIXED,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.30651300000000,CB6 1PN,2013-08-16,fhrs_3_en-GB,3,,FHRS,5
13873,14A Station Road,Littleport,Ely,Cambridgeshire,AJ Caterers,Restaurant/Cafe/Canteen,1,5,,336255,10,,52.45747900000000,09/00009/MIXED,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.30919300000000,CB6 1QE,2014-10-14,fhrs_4_en-GB,4,,FHRS,0
13874,21 Broad Street,Ely,Cambridgeshire,,Alans,Takeaway/sandwich shop,7844,0,,620006,0,,52.39534200000000,13/00143/MIXED,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.26664200000000,CB7 4BD,2013-12-16,fhrs_5_en-GB,5,,FHRS,5
13875,41 Lisle Lane,Ely,Cambridgeshire,,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,0,,531067,5,,52.39809800000000,13/00028/MIXED,028,customerservices@eastcambs.gov.uk,East Cambridgeshire,http://www.eastcambs.gov.uk,0.26969400000000,CB7 4AS,2013-04-03,fhrs_5_en-GB,5,,FHRS,0
