,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
42726,,,,,1502 Chocolates,Other catering premises,7841,10,,721741,0,,,0000069/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,,,2014-11-07,fhrs_4_en-GB,4,,FHRS,0
42727,Cotes Park Industrial Estate Clover Nook Road Somercotes Alfreton Derbyshire,,,,A G Parfett And Sons,Distributors/Transporters,7,10,,671,10,,53.09038400000000,0001727/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.35862900000000,DE55 4RF,2014-06-05,fhrs_3_en-GB,3,,FHRS,10
42728,Lane Head Farm Belper Road Alderwasley Belper Derbyshire,,,,A Pigs Tale,Retailers - other,4613,5,,22124,5,,53.07695300000000,07/00126/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.54374600000000,DE56 2RF,2013-03-15,fhrs_5_en-GB,5,,FHRS,5
42729,Stall 3 Alfreton Indoor Market Hall Institute Lane Alfreton Derbyshire,,,,A Stoppard And Son Cooked Meat Stall,Retailers - other,4613,5,,7482,5,,53.09688600000000,03/00040/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38813200000000,DE55 7BQ,2013-03-21,fhrs_5_en-GB,5,,FHRS,0
42730,,,,,A.I.M Commercial Services (Home Caterer),Other catering premises,7841,5,,715556,0,,,0000045/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,,,2014-11-06,fhrs_5_en-GB,5,,FHRS,0
42731,Thorntons Park Staff Canteen Thorntons Park Wimsey Way Somercotes Alfreton Derbyshire,,,,Abm Catering,Restaurant/Cafe/Canteen,1,5,,717,5,,53.08717800000000,0002256/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38831400000000,DE55 4XJ,2013-10-30,fhrs_5_en-GB,5,,FHRS,0
42732,1st Floor Knightsbridge Court Nottingham Road Ripley Derbyshire,,,,Acorn Training,Restaurant/Cafe/Canteen,1,0,,33701,5,,53.05084300000000,10/00060/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.40404500000000,DE5 3LA,2013-07-18,fhrs_5_en-GB,5,,FHRS,0
42733,Field Lane Belper Derbyshire,,,,Ada Belfield Residential Home,Hospitals/Childcare/Caring Premises,5,0,,1089,5,,53.02540900000000,0008209/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.48422000000000,DE56 1DE,2014-07-16,fhrs_5_en-GB,5,,FHRS,5
42734,Lindum 2C Greenhill Lane Riddings Alfreton Derbyshire,,,,AJA Litebites,Other catering premises,7841,5,,715555,5,,53.07203600000000,0000044/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.37014000000000,DE55 4EX,2014-11-05,fhrs_5_en-GB,5,,FHRS,5
42735,50 Peak Avenue Riddings Alfreton Derbyshire,,,,Alan's Ice Cream,Mobile caterer,7846,0,,688266,0,,53.07177000000000,0000052/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.37598000000000,DE55 4AR,2014-06-30,fhrs_5_en-GB,5,,FHRS,5
42736,11 Albion Street Ripley Derbyshire,,,,Albion News,Retailers - other,4613,10,,1159,5,,53.04860300000000,0009203/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.40012300000000,DE5 3ET,2013-02-21,fhrs_4_en-GB,4,,FHRS,5
42737,Daltons Close Langley Mill Heanor Derbyshire,,,,Aldercar Community Language College + Post 16 Phoenix Centre,School/college/university,7845,5,,925,5,,53.02546300000000,0005342/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.34195400000000,NG16 4HL,2014-05-09,fhrs_5_en-GB,5,,FHRS,5
42738,Daltons Close Langley Mill Nottingham,,,,Aldercar Infant   Nursery,School/college/university,7845,0,,926,5,,53.02594100000000,0005443/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.33898000000000,NG16 4GP,2013-10-07,fhrs_5_en-GB,5,,FHRS,5
42739,115 Upper Dunstead Road Langley Mill Heanor Derbyshire,,,,Aldercar Stores,Retailers - other,4613,0,,942,0,,53.02336800000000,0005680/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.33700600000000,NG16 4FJ,2013-04-03,fhrs_5_en-GB,5,,FHRS,0
42740,Higg Lane Alderwasley Belper Derbyshire,,,,Alderwasley Hall School,School/college/university,7845,0,,745,5,,53.07612700000000,0002698/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.51430400000000,DE56 2SR,2013-03-18,fhrs_5_en-GB,5,,FHRS,5
42741,Nottingham Road Somercotes Alfreton Derbyshire,,,,Aldi Store,Retailers - supermarkets/hypermarkets,7840,0,,702,0,,53.08471700000000,0001994/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.37486700000000,DE55 4JN,2014-08-20,fhrs_5_en-GB,5,,FHRS,5
42742,High Street Heanor Derbyshire D,,,,Aldi Stores,Retailers - supermarkets/hypermarkets,7840,0,,7560,5,,53.01560500000000,03/00073/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.35908200000000,DE75 7EX,2013-09-16,fhrs_5_en-GB,5,,FHRS,0
42743,Heanor Road Loscoe Heanor Derbyshire,,,,Alfred Jones,Retailers - other,4613,,,997,,,53.02111500000000,0006931/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.36563400000000,DE75 7JT,2013-07-10,fhrs_2_en-GB,2,,FHRS,
42744,Alfreton Park Alfreton Derbyshire,,,,Alfreton Cricket Club,Other catering premises,7841,5,,552,5,,53.09486000000000,0000030/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.39634400000000,DE55 7AL,2014-05-16,fhrs_5_en-GB,5,,FHRS,5
42745,Alfreton Genesis Enterprise & Business Incubator King Street Alfreton Derbyshire,,,,Alfreton Genesis Centre,Restaurant/Cafe/Canteen,1,10,,7497,10,,53.09676900000000,03/00049/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.39162800000000,DE55 7DQ,2014-06-11,fhrs_3_en-GB,3,,FHRS,5
42746,Grange Street Alfreton Derbyshire,,,,Alfreton Grange Arts College,School/college/university,7845,0,,566,0,,53.09440300000000,0000314/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38603100000000,DE55 7JA,2014-04-30,fhrs_5_en-GB,5,,FHRS,5
42747,Church Street Alfreton Derbyshire,,,,Alfreton Hall,Restaurant/Cafe/Canteen,1,5,,21371,0,,53.09774100000000,07/00014/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.39189800000000,DE55 7AH,2014-02-18,fhrs_5_en-GB,5,,FHRS,5
42748,Coffee Shop Rooms 6 And 15 Alfreton House High Street Alfreton Derbyshire,,,,Alfreton House Tea Rooms,Restaurant/Cafe/Canteen,1,0,,581,5,,53.09741800000000,0000447/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38497300000000,DE55 7HH,2013-09-05,fhrs_5_en-GB,5,,FHRS,0
42749,Church Street Alfreton Derbyshire,,,,Alfreton Leisure Centre,Restaurant/Cafe/Canteen,1,5,,9767,0,,53.09692000000000,04/00060/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.39314900000000,DE55 7BD,2015-02-04,fhrs_5_en-GB,5,,FHRS,0
42750,43 Nottingham Road Alfreton Derbyshire,,,,Alfreton News,Retailers - other,4613,10,,616,10,,53.09717000000000,0000720/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38219900000000,DE55 7HL,2014-08-18,fhrs_3_en-GB,3,,FHRS,5
42751,Grange Street Alfreton Derbyshire,,,,Alfreton Nursery School   Childrens Centre,Hospitals/Childcare/Caring Premises,5,,,565,,,53.09440300000000,0000310/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38603100000000,DE55 7JA,2014-01-23,fhrs_exempt_en-GB,Exempt,,FHRS,
42752,Alfreton Park Access Road Alfreton Derbyshire,,,,Alfreton Park School,School/college/university,7845,0,,15035,0,,53.09486000000000,05/00090/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.39634400000000,DE55 7AL,2014-05-09,fhrs_5_en-GB,5,,FHRS,5
42753,55-57 High Street Alfreton Derbyshire,,,,Alfreton Snooker Hall,Pub/bar/nightclub,7843,20,,572,10,,53.09765500000000,0000387/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.38924100000000,DE55 7DR,2013-11-08,fhrs_1_en-GB,1,,FHRS,15
42754,92 - 98 Mansfield Road Alfreton Derbyshire,,,,Alfreton Stores,Retailers - other,4613,10,,25144,5,,53.09881000000000,08/00048/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.37779900000000,DE55 7JN,2013-08-19,fhrs_4_en-GB,4,,FHRS,0
42755,North Street Alfreton Derbyshire,,,,Alfreton Town Football Club Hospitality,Pub/bar/nightclub,7843,0,,1312,5,,53.09381300000000,0011453/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.37978300000000,DE55 7FZ,2014-08-04,fhrs_5_en-GB,5,,FHRS,0
42756,Alfreton Town Supporters Social Club North Street Alfreton Derbyshire,,,,Alfreton Town Supporters Social Club,Pub/bar/nightclub,7843,5,,560,5,,53.09381300000000,0000220/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.37978300000000,DE55 7FZ,2014-03-06,fhrs_5_en-GB,5,,FHRS,0
42757,Gregorys Way White Moor Belper Derbyshire,,,,Alton Manor Day Nursery,Hospitals/Childcare/Caring Premises,5,0,,1090,0,,53.03065900000000,0008263/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,-1.46191000000000,DE56 0HS,2014-01-03,fhrs_5_en-GB,5,,FHRS,5
42758,Mobile Catering Unit Cotes Park Lane Somercotes Alfreton Derbyshire,,,,Amanda's Catering Van,Mobile caterer,7846,,,18190,,,,06/00085/FH,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,,,2014-09-01,fhrs_3_en-GB,3,,FHRS,
42759,,,,,Amazing Bakes,Other catering premises,7841,5,,584392,0,,,0000029/FOOD,062,envhealth@ambervalley.gov.uk,Amber Valley,http://www.ambervalley.gov.uk,,,2013-09-11,fhrs_5_en-GB,5,,FHRS,0
