,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
314182,Tavistock,Devon,,,19 Campion Rise,Hospitals/Childcare/Caring Premises,5,0,,520818,0,,50.55095900000000,PI/000009705,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-4.13472900000000,PL19 9PU,2013-03-13,fhrs_5_en-GB,5,,FHRS,0
314183,Chagford,Devon,,,19 Lower Street,Other catering premises,7841,0,,162236,10,,50.67490768432620,PI/000002609,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-3.83942580223084,TQ13 8AZ,2011-10-19,fhrs_4_en-GB,4,,FHRS,0
314184,16 Fore Street,Okehampton,Devon,,2 Rivers Restaurant,Restaurant/Cafe/Canteen,1,5,,666535,0,,50.73955900000000,PI/000041915,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-4.00227100000000,EX20 1AN,2014-05-30,fhrs_5_en-GB,5,,FHRS,5
314185,,,,,5 Hunters Gate,Hospitals/Childcare/Caring Premises,5,0,,636203,0,,,PI/000001698,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,,,2013-12-18,fhrs_5_en-GB,5,,FHRS,5
314186,Tavistock,Devon,,,8 West Street,Retailers - other,4613,,,643895,,,50.54966900000000,PI/000022255,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-4.14620400000000,PL19 8AD,2014-03-11,fhrs_exempt_en-GB,Exempt,,FHRS,
314187,9 Barons Road,Dousland,Devon,,A Cupful of Cakes,Other catering premises,7841,0,,168015,0,,50.50070900000000,PI/000012436,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-4.06550700000000,PL20 6NG,2014-06-25,fhrs_5_en-GB,5,,FHRS,0
314188,6 Market Street,North Tawton,Devon,,A L Martin & Son,Retailers - other,4613,5,,163079,10,,50.80006300000000,PI/000004171,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-3.89712900000000,EX20 2ET,2011-10-13,fhrs_4_en-GB,4,,FHRS,5
314189,7 The Square,Chagford,Devon,,A L Martin & Son Ltd,Manufacturers/packers,7839,5,,235380,5,,50.67326100000000,PI/000002806,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-3.84004100000000,TQ13 8AA,2015-01-23,fhrs_5_en-GB,5,,FHRS,5
314190,A L Martin & Son,School Way,Okehampton,Devon,A L Martin & Son Ltd,Retailers - other,4613,10,,447694,0,,50.74048700000000,PI/000035719,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-4.00266500000000,EX20 1EU,2012-11-30,fhrs_4_en-GB,4,,FHRS,0
314191,Bedford Square,Tavistock,Devon,,Abbey Chapel,Other catering premises,7841,,,197807,,,50.54903300000000,PI/000009260,081,eh@westdevon.gov.uk,West Devon,http://www.westdevon.gov.uk,-4.14460800000000,PL19 0AD,2012-02-01,fhrs_exempt_en-GB,Exempt,,FHRS,
