,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
195353,,4 Grosvenor Terrace,,Windermere,# 4,Restaurant/Cafe/Canteen,1,0,,299518,5,,54.36550700000000,208,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.91785800000000,LA23 3BS,2013-07-12,fhrs_5_en-GB,5,,FHRS,5
195354,,1 Green Road,,Kendal,1 Green Road,Retailers - other,4613,,,441600,,,54.33314300000000,1564,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.75300000000000,LA9 4QR,2012-11-30,fhrs_exempt_en-GB,Exempt,,FHRS,
195355,,Park Road Guest House,,1 Park Road,1 Park Road Guest House,Hotel/bed & breakfast/guest house,7842,5,,299434,0,,54.37515100000000,1782,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.90351000000000,LA23 2AW,2012-10-12,fhrs_5_en-GB,5,,FHRS,0
195356,,54 Branthwaite Brow,,Kendal,1657 Chocolate House,Restaurant/Cafe/Canteen,1,5,,299801,0,,54.32826600000000,689,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.74537600000000,LA9 4TX,2014-09-24,fhrs_5_en-GB,5,,FHRS,0
195357,2 Cambridge Villas,Church Street,,Ambleside,2 Cambridge Villas,Hotel/bed & breakfast/guest house,7842,0,,299896,0,,54.43016300000000,836,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.96399200000000,LA22 9DL,2014-07-23,fhrs_5_en-GB,5,,FHRS,5
195358,3 Cambridge Villas,Church Street,,Ambleside,3 Cambridge Villas,Hotel/bed & breakfast/guest house,7842,5,,441661,0,,54.43016300000000,751,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.96399200000000,LA22 9DL,2013-02-28,fhrs_5_en-GB,5,,FHRS,0
195359,,51-52 Quarry Rigg,,Windermere,80 Days Ltd,Restaurant/Cafe/Canteen,1,10,,328647,10,,54.36610700000000,1272,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.91808700000000,LA23 3DU,2014-05-22,fhrs_3_en-GB,3,,FHRS,5
195360,,,,,A Garstang Cakes,Other catering premises,7841,5,,537886,5,,,43538,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,,,2012-08-24,fhrs_5_en-GB,5,,FHRS,5
195361,,30A Main Street,,Sedbergh,Aamilahs,Restaurant/Cafe/Canteen,1,10,,328779,10,,54.32359100000000,1843,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.52775100000000,LA10 5BL,2014-01-20,fhrs_3_en-GB,3,,FHRS,10
195362,Abbeyfield House,Victoria Road,,Ulverston,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,0,,299715,0,,54.19341400000000,513,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-3.09414800000000,LA12 0BY,2014-04-10,fhrs_5_en-GB,5,,FHRS,0
195363,Fair Mead,39a Castle Road,,Kendal,Abbeyfield UK Kendal,Hospitals/Childcare/Caring Premises,5,0,,300012,0,,54.32901700000000,9624,060,dehcrm@southlakeland.gov.uk,South Lakeland,http://www.southlakeland.gov.uk,-2.73422600000000,LA9 7AU,2014-10-08,fhrs_5_en-GB,5,,FHRS,5
