,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
16632,Iceland Cromwell Retail Park,Sandown Road,Wisbech,Cambridgeshire,2,Retailers - supermarkets/hypermarkets,7840,0,,734905,0,,,010090576240,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,,PE14 0SW,2014-11-19,fhrs_5_en-GB,5,,FHRS,0
16633,Cafe Gustosi The Arcade,42 High Street,Chatteris,Cambridgeshire,4,Restaurant/Cafe/Canteen,1,0,,3767,5,,52.45675000000000,010014153785,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.04814100000000,PE16 6BH,2013-05-20,fhrs_5_en-GB,5,,FHRS,0
16634,240 Ramsey Road,Pondersbridge,Cambridgeshire,,5 Stars Mobile Catering,Mobile caterer,7846,0,,734907,0,,,100090063593,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,,,2015-01-14,fhrs_5_en-GB,5,,FHRS,5
16635,The Green,Fairway,Chatteris,Cambridgeshire,8 Cottage Kitchen,Mobile caterer,7846,5,,734911,5,,52.44592800000000,100091517576,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.04113500000000,PE16 6SW,2015-01-15,fhrs_5_en-GB,5,,FHRS,5
16636,19 - 22 Market Place,Wisbech,Cambridgeshire,,99p Stores Limited,Retailers - other,4613,5,,39166,5,,52.66489700000000,100091512921,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.16068800000000,PE13 1DY,2013-02-25,fhrs_5_en-GB,5,,FHRS,5
16637,Acre Fen,First Furlong Drove,Chatteris,Cambridgeshire,A A Chapman,Manufacturers/packers,7839,5,,3710,5,,52.44632800000000,010014151409,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.02841000000000,PE16 6TA,2014-12-09,fhrs_5_en-GB,5,,FHRS,5
16638,,,,,A And M Catering Whitttlesey,Other catering premises,7841,5,,38941,0,,,100090074692,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,,,2013-07-29,fhrs_5_en-GB,5,,FHRS,0
16639,126 High Street,March,Cambridgeshire,,A H Butler And Son,Retailers - other,4613,0,,39277,5,,52.54513600000000,100091517259,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.08775300000000,PE15 9LP,2013-03-18,fhrs_5_en-GB,5,,FHRS,0
16640,"A L Pollington Newsagents And, Manor Lodge",35 Front Road,Murrow,Cambridgeshire,A L Pollington Newsagents & Stores,Retailers - other,4613,5,,3765,5,,,010014153674,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,,,2014-05-19,fhrs_5_en-GB,5,,FHRS,5
16641,Unit 5,Cattle Market Chase,Wisbech,Cambridgeshire,A R Wilson,Retailers - other,4613,5,,82201,5,,52.66734200000000,200002987495,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.15623800000000,PE13 1RD,2012-02-28,fhrs_5_en-GB,5,,FHRS,5
16642,27 Kirkgate Street,Wisbech,Cambridgeshire,,A1 Stores,Retailers - other,4613,10,,39213,5,,52.67163600000000,100091513787,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.18053000000000,PE13 3QR,2013-08-06,fhrs_3_en-GB,3,,FHRS,10
16643,"Abc Kids Club, Kinderley Primary School",Church Lane,Tydd St Giles,Cambridgeshire,ABC Kids Club,School/college/university,7845,5,,4102,5,,52.72188400000000,010034158556,029,environmentalservicerequests@fenland.gov.uk,Fenland,http://www.fenland.gov.uk/article/2117/Food-Safety,0.11025400000000,PE13 5LG,2013-11-15,fhrs_5_en-GB,5,,FHRS,5
