,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
66191,Gosforth Fields Sports Association,Bubnell Road,Dronfield Woodhouse,Dronfield,1220 Catering,Restaurant/Cafe/Canteen,1,0,,594021,10,,53.30402100000000,PI/000131178,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.48981400000000,S18 8NP,2014-03-22,fhrs_4_en-GB,4,,FHRS,10
66192,Bt Local Business Stadium,Sheffield Road,Dronfield,,3,Other catering premises,7841,10,,593948,10,,53.30255500000000,PI/000102219,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.47106000000000,S18 2DH,2010-11-12,fhrs_3_en-GB,3,,FHRS,10
66193,28 Hallfieldgate Lane,Shirland,Alfreton,Derbyshire,A B M News,Retailers - other,4613,10,,351491,10,,53.12101000000000,PI/000107483,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.40906700000000,DE55 6AA,2013-05-13,fhrs_3_en-GB,3,,FHRS,10
66194,Tibshelf Road,Holmewood,Chesterfield,,Abundant Life Christian Centre,Other catering premises,7841,5,,510482,5,,53.18511000000000,PI/000070488,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.36176600000000,S42 5TA,2012-07-18,fhrs_5_en-GB,5,,FHRS,5
66195,Chesterfield Road,Shirland,Alfreton,,Adastra Service Station,Retailers - other,4613,10,,351075,5,,53.11404400000000,PI/000015656,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.39649400000000,DE55 6AW,2013-05-30,fhrs_4_en-GB,4,,FHRS,5
66196,193B Sheffield Road,Killamarsh,Sheffield,,Akhtars,Restaurant/Cafe/Canteen,1,5,,351535,5,,53.32496000000000,PI/000115092,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.32111200000000,S21 1DX,2014-06-17,fhrs_5_en-GB,5,,FHRS,5
66197,7 Parkside Shopping Centre,Killamarsh,Sheffield,,Aldi,Retailers - supermarkets/hypermarkets,7840,5,,510490,0,,53.32452200000000,PI/000124095,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.31675000000000,S21 1FY,2013-07-03,fhrs_5_en-GB,5,,FHRS,0
66198,Aldi Foodstore Ltd,Sheffield Road,Dronfield,,Aldi,Retailers - supermarkets/hypermarkets,7840,5,,664193,0,,53.30594600000000,14/00055/COMM,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.47570000000000,S18 2GG,2013-04-09,fhrs_5_en-GB,5,,FHRS,5
66199,2 Alma Road,North Wingfield,Chesterfield,,Alma Convenience Store,Retailers - other,4613,,,454676,,,53.18487000000000,PI/000100014,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.38281000000000,S42 5QG,2003-02-04,fhrs_exempt_en-GB,Exempt,,FHRS,
66200,Amber Green,Furnace,Alfreton,,Amber Hotel,Pub/bar/nightclub,7843,5,,351375,5,,53.10802900000000,PI/000101464,068,envhealth@ne-derbyshire.gov.uk,North East Derbyshire,http://www.ne-derbyshire.gov.uk/,-1.42360000000000,DE55 7LL,2014-03-04,fhrs_5_en-GB,5,,FHRS,5
