,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
289565,11A Church Street,Exmouth,,,"""11A""",Pub/bar/nightclub,7843,5,,160926,5,,50.61917700000000,PI/000000799,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.41129000000000,EX8 1PE,2014-09-03,fhrs_4_en-GB,4,,FHRS,10
289566,,,,,1 Clarence Road,Retailers - other,4613,5,,731366,5,,,14/00296/COM,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,,,2015-01-16,fhrs_5_en-GB,5,,FHRS,5
289567,Kiosk,Marwyl,East Walk,Seaton,1 Scoop Or 2,Retailers - other,4613,5,,625608,5,,,PI/000007646,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,,,2014-03-06,fhrs_4_en-GB,4,,FHRS,10
289568,,,,,3 Hollishead,Other catering premises,7841,5,,723629,5,,,14/00272/COM,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,,,2014-12-12,fhrs_5_en-GB,5,,FHRS,5
289569,11 High Street,Budleigh Salterton,,,A J Coles And Son,Manufacturers/packers,7839,20,,625744,15,,50.62923300000000,PI/000013468,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.32624700000000,EX9 6LD,2014-06-12,fhrs_0_en-GB,0,,FHRS,20
289570,A La Ronde,Summer Lane,Exmouth,,A La Ronde Tearoom,Restaurant/Cafe/Canteen,1,5,,30397,5,,50.64280000000000,09/00189/COM,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.40550600000000,EX8 5BD,2014-10-27,fhrs_5_en-GB,5,,FHRS,5
289571,1 Rolle Road,Budleigh Salterton,,,A Slice Of Lyme,Restaurant/Cafe/Canteen,1,5,,168752,10,,50.62897300000000,PI/000013771,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.32536300000000,EX9 6JZ,2013-10-17,fhrs_3_en-GB,3,,FHRS,10
289572,Kilmington,Axminster,,,A35 Pit Stop (Cafe Restaurant),Restaurant/Cafe/Canteen,1,5,,682060,5,,50.77894900000000,14/00227/COM,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.03213000000000,EX13 7RB,2014-07-14,fhrs_2_en-GB,2,,FHRS,15
289573,43 Norman Crescent,Budleigh Salterton,,,AB Vending,Retailers - other,4613,,,625303,,,50.63532900000000,11/00246/COM,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.32951500000000,EX9 6RB,2012-02-17,fhrs_exempt_en-GB,Exempt,,FHRS,
289574,Cotmaton House,Cotmaton Road,Sidmouth,,Abbeyfield,Hospitals/Childcare/Caring Premises,5,5,,167134,5,,50.68095200000000,PI/000010820,072,environmentalhealth@eastdevon.gov.uk,East Devon,http://www.eastdevon.gov.uk,-3.24563600000000,EX10 8QT,2014-05-21,fhrs_5_en-GB,5,,FHRS,0
