,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
313439,Torrington,Devon,,,7 Stibb Cross,Hotel/bed & breakfast/guest house,7842,0,,530756,0,,50.91238500000000,12/00145/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.23573200000000,EX38 8LH,2013-03-28,fhrs_5_en-GB,5,,FHRS,0
313440,Unit 2,1 North Road,Holsworthy,Devon,8Ds,Other catering premises,7841,0,,581592,0,,50.81068100000000,13/00112/FH,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.35242600000000,EX22 6EJ,2013-09-02,fhrs_5_en-GB,5,,FHRS,5
313441,The Square,Bradworthy,Holsworthy,Devon,A F Balsdon And Sons,Retailers - other,4613,5,,233661,5,,50.90169300000000,08/00028/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.38554400000000,EX22 7SY,2013-08-21,fhrs_5_en-GB,5,,FHRS,5
313442,Densham Court,Croft Road,Holsworthy,Devon,Abbeyfield Holsworthy Society Ltd,Hospitals/Childcare/Caring Premises,5,5,,233735,5,,50.80928300000000,08/00009/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.35528000000000,EX22 6BW,2013-08-14,fhrs_5_en-GB,5,,FHRS,5
313443,Glen Tor,Villa Road,Great Torrington,Devon,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,,,233626,,,50.95171500000000,08/00577/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.14712200000000,EX38 8DZ,2014-03-10,fhrs_exempt_en-GB,Exempt,,FHRS,
313444,Abbotsham,Devon,,,Abbotsham Baptist Church,Other catering premises,7841,,,234022,,,51.01568984985350,08/00013/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.24822759628296,EX39 5AP,2013-12-05,fhrs_exempt_en-GB,Exempt,,FHRS,
313445,Post Office,Abbotsham,Devon,,Abbotsham Post Office,Retailers - other,4613,,,233844,,,51.01569000000000,08/00012/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.24822800000000,EX39 5AP,2013-02-18,fhrs_exempt_en-GB,Exempt,,FHRS,
313446,Abbotsham,Bideford,Devon,,Abbotsham Village Hall,Restaurant/Cafe/Canteen,1,,,446054,,,51.01568984985350,08/00742/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.24822759628296,EX39 5AP,2007-08-15,fhrs_exempt_en-GB,Exempt,,FHRS,
313447,Woodville,Heywood Road,Bideford,Devon,Acorn Manor,Hospitals/Childcare/Caring Premises,5,0,,233856,0,,51.02865900000000,09/00024/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.21431300000000,EX39 3PG,2013-09-12,fhrs_5_en-GB,5,,FHRS,0
313448,Merton Garage,Merton,Devon,,Agrimotors Merton Garage Post Office And Shop,Retailers - other,4613,10,,233985,5,,50.89089500000000,08/00017/FH,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.09343200000000,EX20 3DZ,2013-01-23,fhrs_4_en-GB,4,,FHRS,5
313449,3 Bridgeland Street,Bideford,Devon,,Ali's Kebab House,Takeaway/sandwich shop,7844,5,,233365,5,,51.01973700000000,08/00025/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.20481900000000,EX39 2PS,2014-01-31,fhrs_5_en-GB,5,,FHRS,0
313450,,,,,All Occasions And Top Meals,Other catering premises,7841,5,,536301,5,,,13/00039/FH,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,,,2013-04-03,fhrs_5_en-GB,5,,FHRS,5
313451,,,,,Alpaca Park,Restaurant/Cafe/Canteen,1,,,233442,,,,08/00137/FH,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,,,2013-03-13,fhrs_exempt_en-GB,Exempt,,FHRS,
313452,,,,,Amanda's Homebaking,Other catering premises,7841,5,,233758,0,,,08/00016/FH,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,,,2014-01-24,fhrs_5_en-GB,5,,FHRS,5
313453,11 Honestone Street,Bideford,Devon,,Anchor,Pub/bar/nightclub,7843,10,,233613,5,,51.01650700000000,08/00008/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.20825900000000,EX39 2DJ,2014-03-27,fhrs_4_en-GB,4,,FHRS,5
313454,Fore Street,Hartland,Devon,,Anchor Inn,Pub/bar/nightclub,7843,5,,234041,5,,50.99208300000000,09/00077/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.48001600000000,EX39 6BD,2014-02-03,fhrs_4_en-GB,4,,FHRS,10
313455,,,,,Andys Griddle And Grill,Mobile caterer,7846,5,,233982,5,,,08/00011/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,,,2014-02-12,fhrs_5_en-GB,5,,FHRS,5
313456,,,,,Angela's Kitchen,Other catering premises,7841,,,233453,,,,11/00127/FH,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,,,2014-09-18,fhrs_exempt_en-GB,Exempt,,FHRS,
313457,The Gables,Winsford Lane,Halwill Junction,Devon,Anglers Paradise,Pub/bar/nightclub,7843,5,,233876,5,,50.78872000000000,08/00020/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.20073800000000,EX21 5XT,2013-06-10,fhrs_5_en-GB,5,,FHRS,5
313458,Unit 2A,Alverdiscott Road Industrial Estate,East The Water,Bideford,Anglo Indian Chef Ltd,Manufacturers/packers,7839,0,,709131,0,,51.01266400000000,14/00151/MX,080,foodandsafety@torridge.gov.uk,Torridge,http://www.torridge.gov.uk/food,-4.18495200000000,EX39 4LQ,2014-10-22,fhrs_5_en-GB,5,,FHRS,0
