,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
300756,,164 Kings Road West,Swanage,Dorset,3 Quarters B&B,Hotel/bed & breakfast/guest house,7842,5,,693918,0,,50.61125000000000,20208,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.97197500000000,BH19 1HT,2014-04-28,fhrs_5_en-GB,5,,FHRS,5
300757,,85 West Street,Bere Regis,Dorset,A C Moorse & Son Ltd,Retailers - other,4613,5,,335926,5,,50.75378000000000,68,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.21914600000000,BH20 7HL,2014-05-16,fhrs_5_en-GB,5,,FHRS,5
300758,,,,,A Piece of Cake,Other catering premises,7841,0,,335663,0,,,236,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,,,2014-11-04,fhrs_5_en-GB,5,,FHRS,5
300759,Lee Cottage,Main Road,West Lulworth,Dorset,Abilee,Hotel/bed & breakfast/guest house,7842,5,,335560,0,,50.62615300000000,11944,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.24710900000000,BH20 5RN,2014-10-15,fhrs_5_en-GB,5,,FHRS,5
300760,Purbeck Sports Centre,Worgret Road,Wareham,Dorset,All Stars Sports Bar,Restaurant/Cafe/Canteen,1,5,,335552,5,,50.68448500000000,1164,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.11765700000000,BH20 4PH,2013-09-10,fhrs_5_en-GB,5,,FHRS,5
300761,"Officers Mess, Allenby Barrack",Bovington Camp,Bovington,Dorset,Allenby Officers Mess,Restaurant/Cafe/Canteen,1,5,,335867,5,,50.70167800000000,578,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.24078100000000,BH20 6NE,2015-01-15,fhrs_4_en-GB,4,,FHRS,10
300762,,36 Victoria Avenue,Swanage,Dorset,Amberlea,Hotel/bed & breakfast/guest house,7842,10,,336052,5,,50.61239000000000,934,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.96472400000000,BH19 1AP,2014-09-03,fhrs_2_en-GB,2,,FHRS,15
300763,,88 West Street,Corfe Castle,Dorset,Ammonite B&B,Hotel/bed & breakfast/guest house,7842,5,,409500,0,,50.63463800000000,18296,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.05954400000000,BH20 5HE,2014-06-09,fhrs_5_en-GB,5,,FHRS,5
300764,,Bonnets Lane,Wareham,Dorset,Anglebury Court,Hospitals/Childcare/Caring Premises,5,0,,336059,5,,50.68747000000000,952,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.10966700000000,BH20 4HA,2014-12-01,fhrs_5_en-GB,5,,FHRS,5
300765,,,,,Apple Catering Cakes,Other catering premises,7841,5,,335644,0,,,216,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,,,2013-09-16,fhrs_5_en-GB,5,,FHRS,5
300766,Applegrove,West Road,West Lulworth,Dorset,Applegrove B&B,Hotel/bed & breakfast/guest house,7842,10,,335817,5,,50.62672100000000,492,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.25074600000000,BH20 5RY,2013-07-24,fhrs_4_en-GB,4,,FHRS,5
300767,Arbour House,19 Walrond Road,Swanage,Dorset,Arbour House,Other catering premises,7841,5,,336054,0,,50.61355800000000,942,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.96090700000000,BH19 1PB,2014-09-24,fhrs_5_en-GB,5,,FHRS,5
300768,,139-141 High Street,Swanage,Dorset,Arkwrights Stores Ltd,Retailers - other,4613,10,,335934,5,,50.60776800000000,701,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.96305900000000,BH19 2ND,2013-07-16,fhrs_4_en-GB,4,,FHRS,5
300769,Stanley Barracks,Bovington,Wool,Wareham,Army School of Recruiting Mess,Restaurant/Cafe/Canteen,1,0,,335869,5,,50.70167800000000,580,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.24078100000000,BH20 6JB,2014-11-19,fhrs_5_en-GB,5,,FHRS,5
300770,,64 Furzebrook Road,Stoborough,Dorset,Ashcroft B&B,Hotel/bed & breakfast/guest house,7842,5,,335685,0,,50.66515600000000,27,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.10282300000000,BH20 5AX,2014-11-05,fhrs_5_en-GB,5,,FHRS,5
300771,Allenby Barracks,Bovington Camp,Bovington,Dorset,ATDU Coffee Shop,Restaurant/Cafe/Canteen,1,5,,335862,5,,50.69983200000000,571,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.23750500000000,,2014-05-19,fhrs_5_en-GB,5,,FHRS,5
300772,,23 Burlington Road,Swanage,Dorset,Avon House,Hotel/bed & breakfast/guest house,7842,5,,493317,0,,50.62107500000000,613,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.95596700000000,BH19 1LT,2013-01-09,fhrs_5_en-GB,5,,FHRS,5
300773,,19 West Street,Wareham,Dorset,B. Curtis Ltd,Retailers - other,4613,5,,335545,5,,50.68565200000000,1155,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.11066700000000,BH20 4JS,2014-03-11,fhrs_4_en-GB,4,,FHRS,10
300774,Post Office & Stores,10 Redcliff Road,Swanage,Dorset,Ballard Down Stores Ltd,Retailers - other,4613,10,,336009,5,,50.62268600000000,852,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.95935800000000,BH19 1NE,2014-06-16,fhrs_4_en-GB,4,,FHRS,5
300775,,Manor Road,Studland,Dorset,Bankes Arms Hotel,Pub/bar/nightclub,7843,10,,335741,10,,50.64311300000000,351,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-1.94846500000000,BH19 3AU,2014-07-02,fhrs_3_en-GB,3,,FHRS,10
300776,,Furzebrook Road,Stoborough,Dorset,Barbrook Blue Pool,Restaurant/Cafe/Canteen,1,5,,335996,5,,50.77915191650391,83,088,publichealth@purbeck-dc.gov.uk,Purbeck,http://www.dorsetforyou.com/purbeck,-2.32034993171692,BH20 5AT,2013-10-28,fhrs_5_en-GB,5,,FHRS,5
