,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
284334,,,,,2nd Home Childcare,Hospitals/Childcare/Caring Premises,5,0,,706712,0,,,59762,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,,,2014-10-03,fhrs_5_en-GB,5,,FHRS,5
284335,,47 High Street,Christchurch,Dorset,99p Stores Ltd,Retailers - other,4613,10,,658395,10,,,86342,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,,BH23 1AN,2013-10-02,fhrs_3_en-GB,3,,FHRS,10
284336,,45 Saffron Drive,Christchurch,Dorset,ABC Childminding Services,Hospitals/Childcare/Caring Premises,5,5,,658348,10,,50.74210200000000,86295,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.73436900000000,BH23 4LR,2013-10-08,fhrs_3_en-GB,3,,FHRS,10
284337,Merritown Farm,Merritown Lane,Christchurch,Dorset,Adventure Wonderland,Restaurant/Cafe/Canteen,1,5,,658119,5,,50.77455800000000,86063,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.84503300000000,BH23 6BA,2014-06-12,fhrs_5_en-GB,5,,FHRS,5
284338,,186 Stanpit,Christchurch,Dorset,ALEXANDERS,Takeaway/sandwich shop,7844,5,,690123,5,,50.72934100000000,87046,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.75481500000000,BH23 3NE,2014-07-22,fhrs_5_en-GB,5,,FHRS,0
284339,,117 Bargates,Christchurch,Dorset,Ali Baba Christchurch,Takeaway/sandwich shop,7844,10,,658105,15,,50.73899100000000,86048,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.78224300000000,BH23 1QH,2014-07-12,fhrs_2_en-GB,2,,FHRS,15
284340,,71 High Street,Christchurch,Dorset,Arcado Lounge,Restaurant/Cafe/Canteen,1,5,,706716,5,,50.73391700000000,87113,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.77659900000000,BH23 1AS,2014-10-01,fhrs_5_en-GB,5,,FHRS,5
284341,Argos Ltd,21b Saxon Square,Christchurch,Dorset,Argos Store,Retailers - other,4613,,,658188,,,50.73557400000000,86133,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.77773900000000,BH23 1QA,2012-07-09,fhrs_exempt_en-GB,Exempt,,FHRS,
284342,Avon Causeway,Hurn,Christchurch,Dorset,Avon Causeway Hotel,Hotel/bed & breakfast/guest house,7842,10,,658397,5,,50.77729000000000,86344,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.80766600000000,BH23 6AS,2012-03-21,fhrs_4_en-GB,4,,FHRS,5
284343,Preston Lane,Burton,Christchurch,Dorset,Avon Lee Lodge,Hospitals/Childcare/Caring Premises,5,0,,658047,5,,50.75416400000000,85990,084,environmental.services@christchurch.gov.uk,Christchurch,http://www.dorsetforyou.com,-1.76504800000000,BH23 7JU,2014-06-18,fhrs_5_en-GB,5,,FHRS,5
