,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
295521,Lynway,Lynton,Devon,,1 Lynway Cottages,Other catering premises,7841,0,,170749,0,,50.73246002197266,PI/000018492,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.79749202728271,EX35 6BA,2009-03-23,fhrs_5_en-GB,5,,FHRS,0
295522,Wilder Road,Ilfracombe,Devon,,10 Belgrave Promenade,Retailers - other,4613,10,,173771,5,,51.20923100000000,PI/000026898,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.12559400000000,EX34 9AS,2007-05-21,fhrs_4_en-GB,4,,FHRS,5
295523,A T T U R M,Instow,Devon,,11(ATT) Squadron Royal Marines,Restaurant/Cafe/Canteen,1,0,,176549,0,,51.05586300000000,PI/000037748,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.17711100000000,EX39 4JQ,2013-02-19,fhrs_5_en-GB,5,,FHRS,0
295524,Debbies Sandwich Bar,1 King Street,South Molton,Devon,1959,Restaurant/Cafe/Canteen,1,5,,338089,0,,51.01784800000000,PI/000071481,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.83571600000000,EX36 3BL,2014-10-22,fhrs_5_en-GB,5,,FHRS,0
295525,Bidders Court,Barnstaple Street,South Molton,Devon,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,0,,160861,0,,51.01826300000000,PI/000000720,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.83621700000000,EX36 3BQ,2013-04-29,fhrs_5_en-GB,5,,FHRS,0
295526,Duffield Court,West Street,South Molton,Devon,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,0,,169734,0,,51.01872200000000,PI/000015829,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.83791800000000,EX36 4DG,2012-08-01,fhrs_5_en-GB,5,,FHRS,0
295527,"Abbeyfield Society, Bryan House",25 Pilton Street,Barnstaple,Devon,Abbeyfield UK,Hospitals/Childcare/Caring Premises,5,0,,167496,0,,51.08715800000000,PI/000011558,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.06220200000000,EX31 1PJ,2007-09-04,fhrs_5_en-GB,5,,FHRS,0
295528,77 High Street,Barnstaple,Devon,,Accessorize,Retailers - other,4613,,,164575,,,51.08086200000000,PI/000006560,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.06072200000000,EX31 1HX,2009-12-09,fhrs_exempt_en-GB,Exempt,,FHRS,
295529,Charminster,18 Franklyn Avenue,Braunton,Devon,Acorn Accommodation,Hotel/bed & breakfast/guest house,7842,0,,636913,0,,51.10813100000000,PI/000073530,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.15729500000000,EX33 2JY,2014-02-14,fhrs_5_en-GB,5,,FHRS,5
295530,4 St James Place,Ilfracombe,Devon,,Acorn Lodge,Hotel/bed & breakfast/guest house,7842,0,,177882,0,,51.21076500000000,PI/000044207,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.11787600000000,EX34 9BH,2014-09-03,fhrs_5_en-GB,5,,FHRS,0
295531,Creacombe Parsonage,Rackenford,Devon,,Acorns,Hotel/bed & breakfast/guest house,7842,10,,177610,0,,50.95410800000000,PI/000042831,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.68143900000000,EX16 8EL,2009-06-25,fhrs_4_en-GB,4,,FHRS,0
295532,2 Woodlands,Combe Martin,Devon,,Acorns Guest House,Hotel/bed & breakfast/guest house,7842,5,,169997,0,,51.20475800000000,PI/000016347,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.04145400000000,EX34 0AT,2011-08-03,fhrs_5_en-GB,5,,FHRS,5
295533,Westacott Road,Barnstaple,Devon,,Actavis,Restaurant/Cafe/Canteen,1,0,,169834,0,,51.07283500000000,PI/000016021,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.02709000000000,EX32 8NS,2014-09-25,fhrs_5_en-GB,5,,FHRS,0
295534,Sticklepath Childrens Centre,Sticklepath Community School,Woodville,Sticklepath,Action for Children,Hospitals/Childcare/Caring Premises,5,0,,723856,0,,51.07303300000000,PI/000068007,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.08125900000000,EX31 2HH,2014-11-24,fhrs_5_en-GB,5,,FHRS,5
295535,Victoria House,Victoria Road,Barnstaple,Devon,Action For Children,Hospitals/Childcare/Caring Premises,5,0,,180872,0,,51.07677400000000,PI/000067715,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.04820600000000,EX32 8NP,2012-10-04,fhrs_5_en-GB,5,,FHRS,0
295536,8 Broad Street,Ilfracombe,Devon,,Adele's Cafe,Restaurant/Cafe/Canteen,1,5,,181093,0,,51.21015900000000,PI/000068670,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.11603000000000,EX34 9EE,2014-08-14,fhrs_5_en-GB,5,,FHRS,5
295537,,,,,Adrian Salkeld Catering,Mobile caterer,7846,0,,617465,0,,,PI/000073349,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,,,2013-11-28,fhrs_5_en-GB,5,,FHRS,0
295538,2 Broad Street,South Molton,Devon,,Age Concern,Restaurant/Cafe/Canteen,1,0,,441748,0,,51.01747400000000,PI/000002270,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.83434700000000,EX36 3AB,2012-08-23,fhrs_5_en-GB,5,,FHRS,0
295539,25 East Street,Braunton,Devon,,Agricultural Inn,Pub/bar/nightclub,7843,5,,163443,5,,51.10979200000000,PI/000004732,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.16041500000000,EX33 2EA,2014-02-14,fhrs_5_en-GB,5,,FHRS,5
295540,8-10 Apsley Terrace,Ilfracombe,Devon,,Alban House Residential Home,Hospitals/Childcare/Caring Premises,5,5,,160552,0,,51.20713100000000,PI/000000253,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.11988500000000,EX34 9JU,2014-02-13,fhrs_5_en-GB,5,,FHRS,0
295541,31C Boutport Street,Barnstaple,Devon,,Alexanders Sandwich Bar,Takeaway/sandwich shop,7844,5,,161672,0,,51.08066600000000,PI/000001751,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.05804400000000,EX31 1RX,2014-09-08,fhrs_5_en-GB,5,,FHRS,0
295542,54 Boutport Street,Barnstaple,Devon,,Alfie Browns,Pub/bar/nightclub,7843,0,,557581,0,,51.07928900000000,PI/000072994,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.05809700000000,EX31 1SH,2014-02-19,fhrs_5_en-GB,5,,FHRS,0
295543,18 Maiden Street,Barnstaple,Devon,,Ali's Alcove,Takeaway/sandwich shop,7844,5,,180680,5,,51.07870300000000,PI/000066153,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.05922700000000,EX31 1HA,2014-03-13,fhrs_5_en-GB,5,,FHRS,5
295544,,,,,Ali's Cakes,Retailers - other,4613,0,,570719,0,,,PI/000073137,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,,,2013-06-25,fhrs_5_en-GB,5,,FHRS,0
295545,55 Boutport Street,Barnstaple,Devon,,Alis Charcoal Grill,Takeaway/sandwich shop,7844,0,,636938,0,,51.07928900000000,PI/000074934,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.05809700000000,EX31 1SH,2014-11-25,fhrs_5_en-GB,5,,FHRS,0
295546,Tree Beech Rural Enterprise Park,Tree Beech Rural Enterprise Park,Gunn,Devon,Alley Cart Foods,Mobile caterer,7846,10,,643815,5,,51.08789500000000,PI/000074882,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.95445200000000,EX32 7NZ,2014-03-25,fhrs_4_en-GB,4,,FHRS,5
295547,2 Imperial Buildings,Castle Hill,Lynton,Devon,Amanda Janes,Restaurant/Cafe/Canteen,1,0,,716307,5,,51.22934000000000,PI/000075264,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-3.83326500000000,EX35 6JA,2014-11-10,fhrs_5_en-GB,5,,FHRS,0
295548,104 Boutport Street,Barnstaple,Devon,,Anatolia,Takeaway/sandwich shop,7844,5,,205791,0,,51.08105400000000,PI/000071540,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.05851800000000,EX31 1SY,2014-03-09,fhrs_5_en-GB,5,,FHRS,5
295549,Bar Electric,1-2 Granville Terrace,West Road,Woolacombe,Andrew Bird @ Bar Electric,Restaurant/Cafe/Canteen,1,5,,581475,5,,51.17228600000000,PI/000071929,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.20573900000000,EX34 7BW,2014-08-15,fhrs_4_en-GB,4,,FHRS,10
295550,Oak Leaf Way,Tree Beech Rural Enterprise Park,Gunn,Devon,Andys Ice Cream,Mobile caterer,7846,10,,626198,5,,,PI/000074275,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,,,2014-01-16,fhrs_4_en-GB,4,,FHRS,0
295551,24 Green Lanes Shopping Centre,Green Lanes Shopping Centre,Barnstaple,Devon,Ann Summers,Retailers - other,4613,,,178227,,,51.08169700000000,PI/000045914,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,-4.06028800000000,EX31 1UJ,2010-01-12,fhrs_exempt_en-GB,Exempt,,FHRS,
295552,,,,,Annes Cakes,Other catering premises,7841,0,,172597,0,,,PI/000023518,075,customerservices@northdevon.gov.uk,North Devon,http://www.northdevon.gov.uk,,,2010-02-10,fhrs_5_en-GB,5,,FHRS,0
