,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
166647,,30-32 Botchergate,Carlisle,,4 Seasons World Buffet,Restaurant/Cafe/Canteen,1,,,732164,,,54.89093900000000,77677,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93167200000000,CA1 1QS,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
166648,A Chung Fish & Chips,2 Wood Street,Botcherby,,A Chung Fish & Chips,Takeaway/sandwich shop,7844,5,,301701,5,,54.89239200000000,68955,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.90120900000000,CA1 2SF,2014-09-26,fhrs_5_en-GB,5,,FHRS,5
166649,Adrianos Restaurant,1 Rickergate,Carlisle,,Adriano's Italian Restaurant,Restaurant/Cafe/Canteen,1,5,,301525,0,,54.89774700000000,68368,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93574300000000,CA3 8XP,2014-07-18,fhrs_5_en-GB,5,,FHRS,5
166650,Unit 13,Currock Road Trade Centre,Carlisle,,Adventure World,Restaurant/Cafe/Canteen,1,10,,301235,5,,54.88728700000000,62885,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93344300000000,CA2 5AD,2015-01-08,fhrs_4_en-GB,4,,FHRS,5
166651,Alexandros Greek Delicatessen,66-68 Warwick Road,Carlisle,,Alexandros Greek Dlicatessesn,Restaurant/Cafe/Canteen,1,5,,301762,0,,54.89301800000000,71464,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93014500000000,CA1 1DR,2014-06-18,fhrs_5_en-GB,5,,FHRS,0
166652,Alexandros Greek Restaurant,68 Warwick Road,Carlisle,,Alexandros Greek Restaurant,Restaurant/Cafe/Canteen,1,0,,301576,0,,54.89301800000000,68508,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93014500000000,CA1 1DR,2014-06-18,fhrs_5_en-GB,5,,FHRS,5
166653,Ali's Takeaway,"Unit 1, Linton House",Shaddongate,,Ali's Takeaway,Takeaway/sandwich shop,7844,10,,301537,10,,54.89216600000000,68393,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.94510900000000,CA2 5TY,2014-03-17,fhrs_3_en-GB,3,,FHRS,10
166654,Amf Bowling,Currock Road,Carlisle,,AMF Bowling,Other catering premises,7841,0,,301605,0,,54.88300800000000,68581,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93124000000000,CA2 4AS,2013-08-16,fhrs_5_en-GB,5,,FHRS,5
166655,Cumberland Infirmary,Newtown Road,Carlisle,,Amigo,Retailers - other,4613,0,,301265,0,,54.89575300000000,66453,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.95531200000000,CA2 7HY,2012-06-15,fhrs_5_en-GB,5,,FHRS,0
166656,Anazao Tearoom Gallery,36 Cecil Street,Carlisle,,Anazao Tearoom Gallery,Restaurant/Cafe/Canteen,1,10,,582395,5,,54.89147100000000,68485,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.92922100000000,CA1 1NT,2013-09-05,fhrs_4_en-GB,4,,FHRS,5
166657,,,,,Angels in Aprons,Other catering premises,7841,10,,464686,0,,,72029,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,,,2012-04-27,fhrs_4_en-GB,4,,FHRS,0
166658,Angus Hotel/Almonds Bistro,14-16 Scotland Road,Carlisle,,Angus Hotel/Almonds Bistro,Hotel/bed & breakfast/guest house,7842,0,,301493,0,,54.90491000000000,68286,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.93693900000000,CA3 9DG,2012-10-03,fhrs_5_en-GB,5,,FHRS,0
166659,Applegarth Nursing Home,243 Newtown Road,Carlisle,,Applegarth Nursing Home,Other catering premises,7841,5,,301334,5,,54.89534300000000,66614,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.96615500000000,CA2 7LT,2013-10-04,fhrs_5_en-GB,5,,FHRS,0
166660,Appos Diner MC Catering,"Stable Cottage, Low Brow Nelson",Brow Nelson,,Appos Diner MC Catering,Mobile caterer,7846,,,604995,,,54.86276800000000,73296,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.96930200000000,CA5 7LE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
166661,Asda Stores Ltd,Chandler Way,Parkhouse,,Asda Store,Retailers - supermarkets/hypermarkets,7840,0,,301476,0,,54.92867400000000,68254,057,Environmentalhealth@carlisle.gov.uk,Carlisle City,http://www.carlisle.gov.uk,-2.95498500000000,CA3 0JQ,2013-07-11,fhrs_5_en-GB,5,,FHRS,5
