,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
158553,1 Market Place,Cockermouth,Cumbria,,1761,Pub/bar/nightclub,7843,5,,267262,5,,54.66396000000000,PI/000001394,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.36067200000000,CA13 9NH,2013-10-03,fhrs_5_en-GB,5,,FHRS,5
158554,Maryport,Cumbria,,,23 Wood Street,Restaurant/Cafe/Canteen,1,5,,668659,10,,54.71517400000000,PI/000066553,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.49836300000000,CA15 6JZ,2010-02-16,fhrs_4_en-GB,4,,FHRS,0
158555,Wigton,Cumbria,,,4 Park Square,Other catering premises,7841,,,268025,,,54.82267200000000,PI/000009132,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.16236900000000,CA7 9PP,2013-05-22,fhrs_exempt_en-GB,Exempt,,FHRS,
158556,20 Station Street,Keswick,Cumbria,,A Different Taste,Takeaway/sandwich shop,7844,5,,268144,5,,54.60067900000000,PI/000018847,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.13496600000000,CA12 5HF,2013-09-27,fhrs_5_en-GB,5,,FHRS,5
158557,55 Senhouse Street,Maryport,Cumbria,,A F Norman Chemists,Retailers - other,4613,,,267635,,,54.71419600000000,PI/000004053,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.49891600000000,CA15 6BL,2014-01-24,fhrs_exempt_en-GB,Exempt,,FHRS,
158558,26 Stanger Street,Keswick,Cumbria,,Abacourt House,Hotel/bed & breakfast/guest house,7842,0,,267512,0,,54.60221800000000,PI/000003481,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.13853900000000,CA12 5JU,2014-05-27,fhrs_5_en-GB,5,,FHRS,5
158559,,,,,Abbeyfield Society,Hospitals/Childcare/Caring Premises,5,5,,267240,0,,,PI/000001277,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,,,2014-03-17,fhrs_5_en-GB,5,,FHRS,0
158560,Loveday House,South End,Wigton,Cumbria,Abbeyfield Wigton Society Ltd,Hospitals/Childcare/Caring Premises,5,5,,267817,5,,54.82093200000000,PI/000005472,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.16014000000000,CA7 9PZ,2013-12-03,fhrs_5_en-GB,5,,FHRS,5
158561,Assembly Square,Abbeytown,Wigton,Cumbria,Abbeytown Assembly Room,Other catering premises,7841,,,643667,,,54.84480700000000,PI/000000008,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.28961700000000,CA7 4RL,2014-03-30,fhrs_exempt_en-GB,Exempt,,FHRS,
158562,2 Borrowdale Road,Keswick,Cumbria,,Abraham's,Restaurant/Cafe/Canteen,1,5,,267392,0,,54.59903800000000,PI/000003079,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.13648400000000,CA12 5DA,2013-09-18,fhrs_5_en-GB,5,,FHRS,5
158563,Street Record,Ambleside Road,Keswick,Cumbria,Acorn House Hotel,Hotel/bed & breakfast/guest house,7842,0,,267376,5,,54.59819100000000,PI/000003042,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.13192500000000,CA12 4DL,2012-08-02,fhrs_5_en-GB,5,,FHRS,5
158564,Castle Hill,High Street,Maryport,Cumbria,Age Concern,Restaurant/Cafe/Canteen,1,5,,268194,5,,54.71380300000000,PI/000020333,055,environmental.health@allerdale.gov.uk,Allerdale,http://www.allerdale.gov.uk,-3.50017500000000,CA15 6BQ,2012-03-23,fhrs_5_en-GB,5,,FHRS,5
