,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
31044,,,,,{c.a.k.e},Other catering premises,7841,,,610735,,,,PI/000060034,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,,,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
31045,Cambourne Church,Jeavons Lane,Cambourne,Cambridgeshire,19 - The Coffee House,Restaurant/Cafe/Canteen,1,0,,597372,0,,52.21592000000000,PI/000155218,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,-0.06544300000000,CB23 6AF,2014-03-18,fhrs_5_en-GB,5,,FHRS,0
31046,31 Church Street,Great Wilbraham,Cambridgeshire,,1st Step Day Nursery,Hospitals/Childcare/Caring Premises,5,5,,596810,0,,52.19474200000000,PI/000104793,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.26460100000000,CB21 5JQ,2014-11-04,fhrs_5_en-GB,5,,FHRS,5
31047,Communal Facilities Building,Acacia Court,Chaston Road,Great Shelford,A and B Catering,Hospitals/Childcare/Caring Premises,5,,,597073,,,52.15097200000000,PI/000118519,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.14071300000000,CB22 5AP,2014-01-06,fhrs_exempt_en-GB,Exempt,,FHRS,
31048,Dickersons Industrial Estate (A10),Ely Road,Landbeach,Cambridgeshire,A Chew n' a Brew,Mobile caterer,7846,5,,596972,5,,52.28931100000000,PI/000113099,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.17328800000000,CB25 9PG,2014-11-28,fhrs_4_en-GB,4,,FHRS,10
31049,,,,,A Fond Farewell,Other catering premises,7841,5,,597125,0,,,PI/000120506,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,,,2014-10-28,fhrs_5_en-GB,5,,FHRS,5
31050,Abbeyfield Girton Green,Wellbrook Way,Girton,Cambridgeshire,Abbeyfield Girton,Hospitals/Childcare/Caring Premises,5,0,,597280,0,,52.23033700000000,PI/000125895,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.08993800000000,CB3 0GQ,2012-10-04,fhrs_5_en-GB,5,,FHRS,5
31051,Community Hall,Pampisford Road,Great Abington,Cambridgeshire,Abington Social Club,Pub/bar/nightclub,7843,5,,632167,5,,52.11175000000000,PI/000155128,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.23037900000000,CB21 6AH,2014-05-22,fhrs_4_en-GB,4,,FHRS,10
31052,66 High Street,Great Abington,Cambridgeshire,,Abington Village Institute,Other catering premises,7841,5,,732966,5,,52.11419000000000,PI/000156563,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.23589000000000,CB21 6AE,2012-11-27,fhrs_5_en-GB,5,,FHRS,5
31053,Jeavons Wood Primary School,Eastgate,Cambourne,Cambridgeshire,ABM Catering Ltd,School/college/university,7845,5,,699078,5,,52.21799300000000,PI/000150236,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,-0.06135600000000,CB23 6DZ,2014-12-17,fhrs_5_en-GB,5,,FHRS,5
31054,5 Cambridge Road,Little Abington,Cambridgeshire,,Acorn Garage,Retailers - other,4613,0,,596743,0,,52.12193400000000,PI/000099337,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.23769500000000,CB21 6BN,2015-01-22,fhrs_5_en-GB,5,,FHRS,0
31055,223 Barton Road,Comberton,Cambridgeshire,,ADM Direct UK Ltd,Other catering premises,7841,,,597176,,,52.18741100000000,PI/000122126,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.03743700000000,CB23 7BU,2010-07-28,fhrs_exempt_en-GB,Exempt,,FHRS,
31056,,,,,Africfood,Other catering premises,7841,10,,706718,5,,,PI/000156322,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,,,2011-08-22,fhrs_4_en-GB,4,,FHRS,0
31057,,,,,All About Kids,Other catering premises,7841,,,727246,,,,PI/000159595,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,,,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
31058,Church Street,Little Shelford,Cambridgeshire,,All Saints Church,Other catering premises,7841,5,,717395,5,,52.14353100000000,PI/000156542,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.12106400000000,CB22 5HG,2014-11-24,fhrs_5_en-GB,5,,FHRS,5
31059,Unit 1d,Highgate Farm,Willingham Road,Over,Allsorts Tea and Gifts,Restaurant/Cafe/Canteen,1,0,,597234,0,,52.31174800000000,PI/000123572,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.05044800000000,CB24 5EU,2013-06-26,fhrs_5_en-GB,5,,FHRS,5
31060,10 High Street,Fulbourn,Cambridgeshire,,Amanda's Sandwich Bar/Cafe,Restaurant/Cafe/Canteen,1,0,,596932,5,,52.18354300000000,PI/000111716,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,0.22181300000000,CB21 5DH,2014-01-23,fhrs_5_en-GB,5,,FHRS,0
31061,,,,,Ambassador Lodge,Hotel/bed & breakfast/guest house,7842,5,,597155,5,,,PI/000121655,032,env.health@scambs.gov.uk,South Cambridgeshire,http://www.scambs.gov.uk/,,,2012-12-07,fhrs_5_en-GB,5,,FHRS,5
